date,overlay_weighted_net_return,cumulative_overlay_net_return,drawdown
2025-02-18,0.0,0.0,0.0
2025-02-24,3.852610410597412e-05,3.852610410597412e-05,0.0
2025-06-18,0.0,3.852610410597412e-05,0.0
2025-09-15,0.004258115473994,0.0042966415780999745,0.0
2025-10-13,0.0,0.0042966415780999745,0.0
2026-01-05,0.0,0.0042966415780999745,0.0
2026-01-06,-0.0002000801284051,0.0040965614496948745,-0.00020008012840509997
2026-01-08,-0.0001613971673718,0.003935164282323074,-0.0003614772957769002
2026-02-06,0.0016843358413053,0.005619500123628374,0.0
2026-05-05,0.0095483802248131,0.015167880348441475,0.0
2026-06-01,0.0382525446602134,0.053420425008654876,0.0
