symbol,event_date,control_dates,dataset,schema,start,end,status,rows,detail,derived_bars_sha256,raw_payload_retained,bars_path
ARRY,2022-08-10,2022-08-03|2022-08-04|2022-08-05|2022-08-08|2022-08-09,XNAS.ITCH,ohlcv-1m,2022-08-03T13:30:00+00:00,2022-08-10T20:00:00+00:00,pass,2586,derived_bars_written_raw_not_retained,94b94076aa62bcfd9307f52d51d8988e1f727e087369c1d6c305380ff66e8bcc,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\ARRY_2022-08-10\bars.csv
CABA,2022-08-11,2022-08-04|2022-08-05|2022-08-08|2022-08-09|2022-08-10,XNAS.ITCH,ohlcv-1m,2022-08-04T13:30:00+00:00,2022-08-11T20:00:00+00:00,pass,337,derived_bars_written_raw_not_retained,9145028b979ceea107da3925033e6c634bcbb44668ec6023839aa63d8321ede5,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CABA_2022-08-11\bars.csv
CRMD,2022-08-11,2022-08-04|2022-08-05|2022-08-08|2022-08-09|2022-08-10,XNAS.ITCH,ohlcv-1m,2022-08-04T13:30:00+00:00,2022-08-11T20:00:00+00:00,pass,1643,derived_bars_written_raw_not_retained,05303b04eebbb99765a0bacb96764af78879ae98c18c49c57412542969e7e240,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2022-08-11\bars.csv
AEHR,2022-10-07,2022-09-30|2022-10-03|2022-10-04|2022-10-05|2022-10-06,XNAS.ITCH,ohlcv-1m,2022-09-30T13:30:00+00:00,2022-10-07T20:00:00+00:00,pass,2165,derived_bars_written_raw_not_retained,e9e0ba71997959cf2a86b6848b120d6c492587998d8f1725b108f82a82043fca,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2022-10-07\bars.csv
IOVA,2022-11-04,2022-10-28|2022-10-31|2022-11-01|2022-11-02|2022-11-03,XNAS.ITCH,ohlcv-1m,2022-10-28T13:30:00+00:00,2022-11-04T20:00:00+00:00,pass,2300,derived_bars_written_raw_not_retained,735ecf301928d557e513f496d2482cb61fbaded009589f94484eb96ebb636d7b,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2022-11-04\bars.csv
ARRY,2022-11-09,2022-11-02|2022-11-03|2022-11-04|2022-11-07|2022-11-08,XNAS.ITCH,ohlcv-1m,2022-11-02T13:30:00+00:00,2022-11-09T21:00:00+00:00,pass,2546,derived_bars_written_raw_not_retained,8c63296ac90af24553d687aecd5a3347b3e654b63134025a9211cdbc90014aa4,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\ARRY_2022-11-09\bars.csv
CABA,2022-11-10,2022-11-03|2022-11-04|2022-11-07|2022-11-08|2022-11-09,XNAS.ITCH,ohlcv-1m,2022-11-03T13:30:00+00:00,2022-11-10T21:00:00+00:00,pass,805,derived_bars_written_raw_not_retained,e811f8dd2529edaa18097d9700da5d1af351dda3cd44e4e4e4d7c2d15f305520,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CABA_2022-11-10\bars.csv
CRMD,2022-11-10,2022-11-03|2022-11-04|2022-11-07|2022-11-08|2022-11-09,XNAS.ITCH,ohlcv-1m,2022-11-03T13:30:00+00:00,2022-11-10T21:00:00+00:00,pass,473,derived_bars_written_raw_not_retained,9378153fc890b97c792e261eea958df7f476f20868755fbb5db71846cb98fde8,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2022-11-10\bars.csv
AEHR,2023-01-06,2022-12-29|2022-12-30|2023-01-03|2023-01-04|2023-01-05,XNAS.ITCH,ohlcv-1m,2022-12-29T14:30:00+00:00,2023-01-06T21:00:00+00:00,pass,2199,derived_bars_written_raw_not_retained,6651905ceeb778941f6ff77cae40557d24c51ee7b32530afc585e88dc5a4c6b1,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2023-01-06\bars.csv
IOVA,2023-03-01,2023-02-22|2023-02-23|2023-02-24|2023-02-27|2023-02-28,XNAS.ITCH,ohlcv-1m,2023-02-22T14:30:00+00:00,2023-03-01T21:00:00+00:00,pass,2144,derived_bars_written_raw_not_retained,a40b59a9e899df25d98bab57f528abea6614b0e46f758a22d31176230fa21764,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2023-03-01\bars.csv
ARRY,2023-03-02,2023-02-23|2023-02-24|2023-02-27|2023-02-28|2023-03-01,XNAS.ITCH,ohlcv-1m,2023-02-23T14:30:00+00:00,2023-03-02T21:00:00+00:00,pass,2418,derived_bars_written_raw_not_retained,03e9446446c8a4e1e4d379fb881059a2f27f5b10b5dc5ceae0479ae44ea40b50,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\ARRY_2023-03-02\bars.csv
CABA,2023-03-16,2023-03-09|2023-03-10|2023-03-13|2023-03-14|2023-03-15,XNAS.ITCH,ohlcv-1m,2023-03-09T14:30:00+00:00,2023-03-16T20:00:00+00:00,pass,1244,derived_bars_written_raw_not_retained,c0c87540bd6cd625e84d14f65b17d4b1ab7c1548718f5194b4ea886f66098c92,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CABA_2023-03-16\bars.csv
ARRY,2023-03-22,2023-03-15|2023-03-16|2023-03-17|2023-03-20|2023-03-21,XNAS.ITCH,ohlcv-1m,2023-03-15T13:30:00+00:00,2023-03-22T20:00:00+00:00,pass,2440,derived_bars_written_raw_not_retained,f7444b28433296cc2e47dea5a26a800a016a78d8eb5113fbcab674c2920bb357,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\ARRY_2023-03-22\bars.csv
CRMD,2023-03-30,2023-03-23|2023-03-24|2023-03-27|2023-03-28|2023-03-29,XNAS.ITCH,ohlcv-1m,2023-03-23T13:30:00+00:00,2023-03-30T20:00:00+00:00,pass,572,derived_bars_written_raw_not_retained,862e8d2b3cbaad7ea5a314308fbb7e708f272619fb22cf0c4aa58b50ad8f4fe3,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2023-03-30\bars.csv
AEHR,2023-03-31,2023-03-24|2023-03-27|2023-03-28|2023-03-29|2023-03-30,XNAS.ITCH,ohlcv-1m,2023-03-24T13:30:00+00:00,2023-03-31T20:00:00+00:00,pass,2382,derived_bars_written_raw_not_retained,c147dcb5caa896b9cbe080b47c4e4e9dca79bf1105896517669827d6166debeb,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2023-03-31\bars.csv
ARRY,2023-05-10,2023-05-03|2023-05-04|2023-05-05|2023-05-08|2023-05-09,XNAS.ITCH,ohlcv-1m,2023-05-03T13:30:00+00:00,2023-05-10T20:00:00+00:00,pass,2363,derived_bars_written_raw_not_retained,42c4a512e620c7ebff68c54697eac36b9356deecd48d440265457e17a76bc794,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\ARRY_2023-05-10\bars.csv
IOVA,2023-05-10,2023-05-03|2023-05-04|2023-05-05|2023-05-08|2023-05-09,XNAS.ITCH,ohlcv-1m,2023-05-03T13:30:00+00:00,2023-05-10T20:00:00+00:00,pass,2310,derived_bars_written_raw_not_retained,b40881d8983e27af2965af258ff6babfd62dc9856927ab334f9dd04d2e380327,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2023-05-10\bars.csv
CABA,2023-05-11,2023-05-04|2023-05-05|2023-05-08|2023-05-09|2023-05-10,XNAS.ITCH,ohlcv-1m,2023-05-04T13:30:00+00:00,2023-05-11T20:00:00+00:00,pass,1046,derived_bars_written_raw_not_retained,5ea2a8650f07d19306ad3e7623af1fb83aac3ff1b55451d48c89b89e2a1b839d,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CABA_2023-05-11\bars.csv
CRMD,2023-05-16,2023-05-09|2023-05-10|2023-05-11|2023-05-12|2023-05-15,XNAS.ITCH,ohlcv-1m,2023-05-09T13:30:00+00:00,2023-05-16T20:00:00+00:00,pass,914,derived_bars_written_raw_not_retained,a1bbefd101ba2ac3d0cb895c6ed20949bcb3dc82e58c833394dd3936ccf09fd3,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2023-05-16\bars.csv
IOVA,2023-07-11,2023-07-03|2023-07-05|2023-07-06|2023-07-07|2023-07-10,XNAS.ITCH,ohlcv-1m,2023-07-03T13:30:00+00:00,2023-07-11T20:00:00+00:00,pass,2367,derived_bars_written_raw_not_retained,3252c6d9d105dd61ee67d91db53640e21482e694ea027b0099d66c5d48d452e5,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2023-07-11\bars.csv
AEHR,2023-07-14,2023-07-07|2023-07-10|2023-07-11|2023-07-12|2023-07-13,XNAS.ITCH,ohlcv-1m,2023-07-07T13:30:00+00:00,2023-07-14T20:00:00+00:00,pass,2357,derived_bars_written_raw_not_retained,37aaf450af0637aab9683e2dff52bcb08f311f3639584889c9c0de600c23433b,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2023-07-14\bars.csv
CRMD,2023-08-08,2023-08-01|2023-08-02|2023-08-03|2023-08-04|2023-08-07,XNAS.ITCH,ohlcv-1m,2023-08-01T13:30:00+00:00,2023-08-08T20:00:00+00:00,pass,1498,derived_bars_written_raw_not_retained,0294605247a7809f4f4afbb264fb400729bdde3c3724d798de6dd1673cac3624,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2023-08-08\bars.csv
ARRY,2023-08-09,2023-08-02|2023-08-03|2023-08-04|2023-08-07|2023-08-08,XNAS.ITCH,ohlcv-1m,2023-08-02T13:30:00+00:00,2023-08-09T20:00:00+00:00,pass,2539,derived_bars_written_raw_not_retained,f424b67821fb45e826b7b22660c1f6a31d1898b46af62c1a076d73885ab430f0,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\ARRY_2023-08-09\bars.csv
IOVA,2023-08-09,2023-08-02|2023-08-03|2023-08-04|2023-08-07|2023-08-08,XNAS.ITCH,ohlcv-1m,2023-08-02T13:30:00+00:00,2023-08-09T20:00:00+00:00,pass,2305,derived_bars_written_raw_not_retained,8f242c857d854dab8420ff78365ee6bb2a4faf136a84a9bb3e72d5693d2b2601,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2023-08-09\bars.csv
CABA,2023-08-10,2023-08-03|2023-08-04|2023-08-07|2023-08-08|2023-08-09,XNAS.ITCH,ohlcv-1m,2023-08-03T13:30:00+00:00,2023-08-10T20:00:00+00:00,pass,1020,derived_bars_written_raw_not_retained,08f5896010da36793e0a8441ec22f39f3824d86db2751803ef7d17155686343a,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CABA_2023-08-10\bars.csv
AEHR,2023-10-06,2023-09-29|2023-10-02|2023-10-03|2023-10-04|2023-10-05,XNAS.ITCH,ohlcv-1m,2023-09-29T13:30:00+00:00,2023-10-06T20:00:00+00:00,pass,2426,derived_bars_written_raw_not_retained,60adc8fd0d2160fb8027f1f291818de58053108dc47a000180f6e6aee8175411,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2023-10-06\bars.csv
ARRY,2023-11-08,2023-11-01|2023-11-02|2023-11-03|2023-11-06|2023-11-07,XNAS.ITCH,ohlcv-1m,2023-11-01T13:30:00+00:00,2023-11-08T21:00:00+00:00,pass,2552,derived_bars_written_raw_not_retained,64a58afd281c605773a1bd86334ac83d57a53dcabc5a14beba7015b7d03c6e5d,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\ARRY_2023-11-08\bars.csv
IOVA,2023-11-08,2023-11-01|2023-11-02|2023-11-03|2023-11-06|2023-11-07,XNAS.ITCH,ohlcv-1m,2023-11-01T13:30:00+00:00,2023-11-08T21:00:00+00:00,pass,2179,derived_bars_written_raw_not_retained,64fcc54ff24d36a94564504a95ad1f010e224396a41f88303b22c03c7f8992e2,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2023-11-08\bars.csv
CABA,2023-11-09,2023-11-02|2023-11-03|2023-11-06|2023-11-07|2023-11-08,XNAS.ITCH,ohlcv-1m,2023-11-02T13:30:00+00:00,2023-11-09T21:00:00+00:00,pass,1539,derived_bars_written_raw_not_retained,b541e5b78a997055c73e0b553eb84d08fb171892f0bebde997d1f43b4a7edc7a,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CABA_2023-11-09\bars.csv
CRMD,2023-11-15,2023-11-08|2023-11-09|2023-11-10|2023-11-13|2023-11-14,XNAS.ITCH,ohlcv-1m,2023-11-08T14:30:00+00:00,2023-11-15T21:00:00+00:00,pass,1780,derived_bars_written_raw_not_retained,3049fd5d90dc8060ee1b16a84fa74d438ade6f72e05eb380c27cab724f8929c3,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2023-11-15\bars.csv
CABA,2024-01-08,2023-12-29|2024-01-02|2024-01-03|2024-01-04|2024-01-05,XNAS.ITCH,ohlcv-1m,2023-12-29T14:30:00+00:00,2024-01-08T21:00:00+00:00,pass,1639,derived_bars_written_raw_not_retained,42d9902586d2e04d48af67ed35de908d0630a43f22d94280f9f4fff361106950,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CABA_2024-01-08\bars.csv
AEHR,2024-01-10,2024-01-03|2024-01-04|2024-01-05|2024-01-08|2024-01-09,XNAS.ITCH,ohlcv-1m,2024-01-03T14:30:00+00:00,2024-01-10T21:00:00+00:00,pass,2718,derived_bars_written_raw_not_retained,595998923ee84baf480b1f4fcfd705fefcb2919af559b78939af0c921e376343,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2024-01-10\bars.csv
IOVA,2024-02-20,2024-02-12|2024-02-13|2024-02-14|2024-02-15|2024-02-16,XNAS.ITCH,ohlcv-1m,2024-02-12T14:30:00+00:00,2024-02-20T21:00:00+00:00,pass,2840,derived_bars_written_raw_not_retained,61d50a99a169f09c7281d04366dd05c844b8fb6cac2264366f861da2c8b9a20e,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2024-02-20\bars.csv
ARRY,2024-02-28,2024-02-21|2024-02-22|2024-02-23|2024-02-26|2024-02-27,XNAS.ITCH,ohlcv-1m,2024-02-21T14:30:00+00:00,2024-02-28T21:00:00+00:00,pass,2566,derived_bars_written_raw_not_retained,b55a3c403f95a5020870b10e50cd1a7ebb0f0109f4f32d8f05624caf9f62aea1,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\ARRY_2024-02-28\bars.csv
IOVA,2024-02-29,2024-02-22|2024-02-23|2024-02-26|2024-02-27|2024-02-28,XNAS.ITCH,ohlcv-1m,2024-02-22T14:30:00+00:00,2024-02-29T21:00:00+00:00,pass,2868,derived_bars_written_raw_not_retained,a464a6362080462917ce95a2be7e53c61408a109278243f4c138d673e16d91e7,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2024-02-29\bars.csv
CRMD,2024-03-12,2024-03-05|2024-03-06|2024-03-07|2024-03-08|2024-03-11,XNAS.ITCH,ohlcv-1m,2024-03-05T14:30:00+00:00,2024-03-12T20:00:00+00:00,pass,1071,derived_bars_written_raw_not_retained,3eba985e8afc84c46d265795735f089487e077c171a933d0d037cec8781f676a,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2024-03-12\bars.csv
CABA,2024-03-21,2024-03-14|2024-03-15|2024-03-18|2024-03-19|2024-03-20,XNAS.ITCH,ohlcv-1m,2024-03-14T13:30:00+00:00,2024-03-21T20:00:00+00:00,pass,1884,derived_bars_written_raw_not_retained,6b01de961a288b96a311ca0e8182a319a3af3ab1211cbf542300f9a31e1f77eb,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CABA_2024-03-21\bars.csv
AEHR,2024-04-10,2024-04-03|2024-04-04|2024-04-05|2024-04-08|2024-04-09,XNAS.ITCH,ohlcv-1m,2024-04-03T13:30:00+00:00,2024-04-10T20:00:00+00:00,pass,1899,derived_bars_written_raw_not_retained,55837ce08d51f54a67f90c94f1d0034141821b36af169d97b198db500e8dba71,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2024-04-10\bars.csv
CRMD,2024-05-09,2024-05-02|2024-05-03|2024-05-06|2024-05-07|2024-05-08,XNAS.ITCH,ohlcv-1m,2024-05-02T13:30:00+00:00,2024-05-09T20:00:00+00:00,pass,1694,derived_bars_written_raw_not_retained,197e4a0aaf2a1df851ace1ce68f7e49e5369bba7242426dd515c552fe3d51f1a,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2024-05-09\bars.csv
ARRY,2024-05-10,2024-05-03|2024-05-06|2024-05-07|2024-05-08|2024-05-09,XNAS.ITCH,ohlcv-1m,2024-05-03T13:30:00+00:00,2024-05-10T20:00:00+00:00,pass,2487,derived_bars_written_raw_not_retained,d91d11ef427f6c7dfa14ea5b9c1c314de6b815b8404a8d9597dfe55361118155,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\ARRY_2024-05-10\bars.csv
