left_component_id,right_component_id,left_strategy,right_strategy,correlation
FACTORY-036709cbb90245e8,FACTORY-c43a6563b2178d23,Factory Custom Rule Builder 45d 500bps,Factory Custom Rule Builder 90d 500bps,0.82663394
FACTORY-a48667d59c0341c7,FACTORY-9424b27321e327f5,Factory Regime Filter 20d 100bps,Factory Regime Filter 45d 500bps,0.82476522
FACTORY-1ae9c3303191d694,FACTORY-a26c47e6385e2c63,Factory Regime Filter 90d 100bps,Factory Regime Filter 180d 100bps,0.82182599
FACTORY-a48667d59c0341c7,FACTORY-1cbd0d3c3b95022d,Factory Regime Filter 20d 100bps,Factory Regime Filter 45d 375bps,0.82168542
FACTORY-2ed1639d36c6b44c,FACTORY-06b51d2083257b36,Factory Mean Reversion 90d 100bps,Factory Mean Reversion 180d 500bps,0.82105074
FACTORY-d6e26b4dde83c8b0,FACTORY-5fcd77f2c0517c34,Factory PEAD 45d 100bps,Factory PEAD 90d 500bps,0.82083041
FACTORY-036709cbb90245e8,FACTORY-f9ae921135d93340,Factory Custom Rule Builder 45d 500bps,Factory Custom Rule Builder 90d 375bps,0.82020751
FACTORY-2ed1639d36c6b44c,FACTORY-e021ad4521158745,Factory Mean Reversion 90d 100bps,Factory Mean Reversion 180d 375bps,0.82012648
FACTORY-d6e26b4dde83c8b0,FACTORY-8c7853c5ae904d13,Factory PEAD 45d 100bps,Factory PEAD 90d 375bps,0.81982338
FACTORY-1ae9c3303191d694,FACTORY-f084a7400225c73b,Factory Regime Filter 90d 100bps,Factory Regime Filter 180d 375bps,0.81902969
FACTORY-1399577a8d1d5dca,FACTORY-a26c47e6385e2c63,Factory Regime Filter 90d 375bps,Factory Regime Filter 180d 100bps,0.81795357
FACTORY-2ed1639d36c6b44c,FACTORY-fab94445f0b51fdf,Factory Mean Reversion 90d 100bps,Factory Mean Reversion 180d 100bps,0.81762476
FACTORY-1ae9c3303191d694,FACTORY-cc3e48f7613e805e,Factory Regime Filter 90d 100bps,Factory Regime Filter 180d 500bps,0.81744795
FACTORY-1399577a8d1d5dca,FACTORY-f084a7400225c73b,Factory Regime Filter 90d 375bps,Factory Regime Filter 180d 375bps,0.8170089
