component_id,strategy_name,template,decision,sleeve,weight
FACTORY-c0803ca9f67aa76d,Factory Custom Rule Builder 20d 375bps,Custom Rule Builder,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-87e8a4bb35786483,Factory 9:30 AM ORB 20d 375bps,9:30 AM ORB,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-4365a19489b27c36,Factory Momentum 20d 500bps,Momentum,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-17d25540b5e54179,Factory Mean Reversion 20d 500bps,Mean Reversion,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-f0ba087264e60c6a,Factory Catalyst 20d 500bps,Catalyst,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-dc349166892cc7df,Factory PEAD 20d 500bps,PEAD,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-31b323dbb27dccd2,Factory Form 4 Cluster Buying 20d 500bps,Form 4 Cluster Buying,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-6d11f16258c0abf7,Factory LowVol Tradability 20d 500bps,LowVol Tradability,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-ae163c98647d7bea,Factory Dollar-Bar Microstructure 20d 500bps,Dollar-Bar Microstructure,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-d90f9f26691681b5,Factory Regime Filter 20d 500bps,Regime Filter,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-f4bc4ad10d286feb,Factory PDUFA Run-Up 20d 500bps,PDUFA Run-Up,RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-a11aeab2b579676d,Factory 13D Activist Follow-On 20d 500bps,13D Activist Follow-On,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-29dc34ee3138d683,Factory Custom Rule Builder 20d 500bps,Custom Rule Builder,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-f2c9931106bc9c82,Factory 9:30 AM ORB 20d 500bps,9:30 AM ORB,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-3649fae5bc1b7b74,Factory Momentum 45d 100bps,Momentum,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-4478d675ccfafd31,Factory Mean Reversion 45d 100bps,Mean Reversion,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-3d1034410d11b1be,Factory Catalyst 45d 100bps,Catalyst,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-d6e26b4dde83c8b0,Factory PEAD 45d 100bps,PEAD,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-30088dc93bd4a178,Factory Form 4 Cluster Buying 45d 100bps,Form 4 Cluster Buying,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-206f18f4951cd8c9,Factory LowVol Tradability 45d 100bps,LowVol Tradability,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-706cdbf4b53724c8,Factory Dollar-Bar Microstructure 45d 100bps,Dollar-Bar Microstructure,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-91da581313704e54,Factory Regime Filter 45d 100bps,Regime Filter,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-37370ef762fec428,Factory PDUFA Run-Up 45d 100bps,PDUFA Run-Up,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-2c22961973d6b9d9,Factory 13D Activist Follow-On 45d 100bps,13D Activist Follow-On,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-2306e8d8b69f7be8,Factory Custom Rule Builder 45d 100bps,Custom Rule Builder,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-5138428531b2cbc4,Factory 9:30 AM ORB 45d 100bps,9:30 AM ORB,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-e608af4f07ff28c5,Factory Momentum 45d 375bps,Momentum,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-37c572af2456505a,Factory Mean Reversion 45d 375bps,Mean Reversion,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-c75960b30e0ccbc3,Factory Catalyst 45d 375bps,Catalyst,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-5ac7948ae3836df9,Factory PEAD 45d 375bps,PEAD,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-51163fa9f51e78ce,Factory Form 4 Cluster Buying 45d 375bps,Form 4 Cluster Buying,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-5ab39e4570644761,Factory LowVol Tradability 45d 375bps,LowVol Tradability,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-ace14c640db8e8f8,Factory Dollar-Bar Microstructure 45d 375bps,Dollar-Bar Microstructure,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-1cbd0d3c3b95022d,Factory Regime Filter 45d 375bps,Regime Filter,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-84018bc09d7b34aa,Factory PDUFA Run-Up 45d 375bps,PDUFA Run-Up,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-1412a8ffeea876e6,Factory 13D Activist Follow-On 45d 375bps,13D Activist Follow-On,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-45ebfdbb131f6cbd,Factory Custom Rule Builder 45d 375bps,Custom Rule Builder,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-a1414413a37a7d80,Factory 9:30 AM ORB 45d 375bps,9:30 AM ORB,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-e18fa0f3988ad341,Factory Momentum 45d 500bps,Momentum,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-f13e649972324e6d,Factory Mean Reversion 45d 500bps,Mean Reversion,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-56417e8834fedfe5,Factory Catalyst 45d 500bps,Catalyst,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-8c83bf25f1c86fc7,Factory PEAD 45d 500bps,PEAD,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-6ad3e5a321c70687,Factory Form 4 Cluster Buying 45d 500bps,Form 4 Cluster Buying,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
