symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
CRMD,2024-03-05T14:30:00Z,3.53,3.55,3.53,3.53,3872,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:34:00Z,3.56,3.56,3.56,3.56,100,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:35:00Z,3.55,3.55,3.54,3.54,800,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:38:00Z,3.56,3.56,3.55,3.55,120,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:41:00Z,3.535,3.535,3.535,3.535,5,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:45:00Z,3.535,3.535,3.535,3.535,5,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:46:00Z,3.54,3.54,3.54,3.54,7,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:47:00Z,3.535,3.535,3.535,3.535,5,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:48:00Z,3.54,3.545,3.535,3.535,832,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:49:00Z,3.53,3.53,3.53,3.53,417,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:51:00Z,3.53,3.53,3.53,3.53,400,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:54:00Z,3.525,3.525,3.525,3.525,5,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:56:00Z,3.525,3.525,3.525,3.525,5,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:57:00Z,3.52,3.52,3.505,3.505,2308,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:58:00Z,3.505,3.515,3.505,3.515,645,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T14:59:00Z,3.515,3.515,3.505,3.505,590,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:00:00Z,3.51,3.51,3.51,3.51,500,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:03:00Z,3.535,3.535,3.535,3.535,20,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:04:00Z,3.54,3.54,3.54,3.54,900,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:05:00Z,3.53,3.53,3.52,3.525,660,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:06:00Z,3.53,3.53,3.53,3.53,100,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:10:00Z,3.53,3.53,3.53,3.53,5,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:12:00Z,3.53,3.54,3.53,3.54,1400,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:14:00Z,3.55,3.55,3.55,3.55,191,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:15:00Z,3.555,3.555,3.555,3.555,5,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:18:00Z,3.555,3.555,3.545,3.545,15,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:20:00Z,3.545,3.545,3.54,3.54,210,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:30:00Z,3.54,3.54,3.54,3.54,100,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:32:00Z,3.53,3.53,3.53,3.53,299,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:35:00Z,3.53,3.53,3.53,3.53,218,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:40:00Z,3.535,3.535,3.535,3.535,56,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:45:00Z,3.535,3.55,3.535,3.55,810,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:49:00Z,3.545,3.545,3.53,3.535,527,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:53:00Z,3.54,3.54,3.54,3.54,200,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:55:00Z,3.55,3.55,3.55,3.55,10,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:58:00Z,3.56,3.56,3.56,3.56,10,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T15:59:00Z,3.555,3.555,3.555,3.555,76,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:00:00Z,3.56,3.56,3.56,3.56,200,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:01:00Z,3.565,3.565,3.56,3.56,366,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:02:00Z,3.56,3.56,3.56,3.56,200,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:04:00Z,3.565,3.565,3.565,3.565,5,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:09:00Z,3.565,3.565,3.56,3.56,291,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:11:00Z,3.555,3.555,3.555,3.555,5,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:12:00Z,3.55,3.55,3.545,3.545,969,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:15:00Z,3.55,3.55,3.55,3.55,491,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:16:00Z,3.555,3.555,3.55,3.55,410,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:18:00Z,3.55,3.56,3.55,3.56,2079,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:19:00Z,3.56,3.56,3.56,3.56,187,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:21:00Z,3.565,3.58,3.565,3.58,687,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:23:00Z,3.58,3.6,3.58,3.6,1488,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:24:00Z,3.6,3.6,3.6,3.6,1,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:26:00Z,3.595,3.595,3.595,3.595,43,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:27:00Z,3.595,3.595,3.585,3.585,545,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:29:00Z,3.59,3.615,3.59,3.61,3862,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:30:00Z,3.61,3.61,3.58,3.58,3266,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:35:00Z,3.585,3.585,3.58,3.58,310,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-05T16:39:00Z,3.575,3.575,3.575,3.575,100,XNAS.ITCH,ohlcv-1m
