component_id,aeb3c97678fffc03,bcfc1ff3b7cf8a4a,9c7fb1982851f609,f884aeb8a0a20815,a37a53c4e1fce137,dcfbeec9cf4c5190,ef3f1ebb21d03d5c,292441755c5ffdcc,7d30471f7325a2a8,f173207ae9bd5ccd,0dc08daefa67c12e,ee5692c4832db94b,91510d8163e121fc,2496e35863212c76,208d36ae3c31f890,8bf949936eddd596,e8cde4045a54b14a,64880f270f8f6861,913c67d63ee5a478,28a0d94ccf2a6c08,e0008aaebb2fda63,680166d42265ad55,816022f1cffa8310,f8e4773a916f0f75,fda6a92d0fdc1a1d,fad9ff0f91ecab15,2902e60324bd4c13,23ff266a203fea0d,bec60afef14416c2,a0cc249592a067f4,acc065823d9dcfb7,4087717bb62f6610,0b596d1ce6d258c0,bc79985845236f4a,6b50c641a4eaf53e,bfe638853ce4a153,409ca5c54a3efce7,eeb44b96bbac9604,dd95aab5d08306e1,6a116a4eef3afb73
aeb3c97678fffc03,1.0,0.19706173791074422,0.186152948141702,0.04748369105543082,0.04336884538996819,0.10399532082199475,1.0,0.42498056828182823,-0.043966577981052454,-0.0016566202726775135,0.7755583332886845,1.0,0.05523781738529435,0.05882788409206027,0.012117377024044139,0.01968317643627893,0.020573713371977276,0.021984780611434045,0.04336884538996819,-0.008649195900787846,0.04748369105543082,0.42172800672819377,0.04616025040402395,-0.043966577981052454,-0.009052706089681182,-0.012923073584381592,0.01721511799542878,-0.0030179335161648582,-0.010525330998390658,0.0073674415052598285,-0.003915897298222792,0.0037585605480762387,0.025353232490594416,-0.0016654584353760777,-0.0025023663646589847,0.4454788754586262,0.354476795769477,0.0015602859319023504,0.04410114866251125,0.016416418499138868
bcfc1ff3b7cf8a4a,0.19706173791074422,1.0,0.08853248827346354,0.025930626065998368,0.053677068036272195,0.7686937416066261,0.19706173791074422,0.17047437285223954,-0.011949033442824733,0.3617145978453293,0.15717425803952245,0.19706173791074422,0.13734620835508554,0.2920864161578929,0.056202603765610634,0.010665042692959807,0.0145147416666381,0.020540603391312688,0.053677068036272195,0.013012193812086455,0.025930626065998368,0.4643862987445857,0.2089618581003808,-0.011949033442824733,-0.08049792927309916,-0.00811117279259636,0.10549184572136906,-0.06138693457838117,-0.02589986982541932,-0.047095771990516316,-0.13138644000720107,-0.04055950529837288,0.126806867200658,0.060847606655551514,-0.0239306496977406,0.21230504019377508,0.21443342080198652,-0.01905929233088283,0.06493105904322737,-0.021043641688469266
9c7fb1982851f609,0.186152948141702,0.08853248827346354,1.0,0.0807681482507733,-0.006362017345006389,0.10232712794223375,0.186152948141702,0.02199744539108342,-0.023136838514214636,-0.018973027544467655,0.175362728427288,0.186152948141702,0.055060272327951396,0.04143655437664795,0.0014259881334148911,0.18057819584806353,0.18700410427958694,0.17235271670635166,-0.006362017345006389,0.04198024268646087,0.0807681482507733,0.019040328062575034,0.1642386288668476,-0.023136838514214636,-0.03444414739227663,0.0063730279214248625,0.002490845800137623,-0.0033128798829411433,-0.015832706060548103,-0.04605611140156181,-0.0018261072834781671,-0.014067464564180425,-0.014873735231924678,0.04384191862131265,-0.027822251499311057,0.08748008075668083,-0.0007452262647046533,0.011828452828582785,0.08416838933946647,0.014914496675463023
f884aeb8a0a20815,0.04748369105543082,0.025930626065998368,0.0807681482507733,1.0,0.044651213927624056,0.008839764938549741,0.04748369105543082,0.01560937689811099,-0.006490613023476301,0.006698055423901641,0.36298474880283566,0.04748369105543082,0.014086910138934983,0.047205158698365376,0.017133168134481545,0.0011307899343283448,0.007468267387725507,0.006730054524252198,0.044651213927624056,0.05829759323844895,1.0,0.0035860275995876784,0.03989101399304674,-0.006490613023476301,-0.002293670974233848,0.019525607113892517,-0.010809998563681948,0.0007567845753928609,0.014081015166077664,0.019084091026506322,0.02237992140204731,0.012887684052462059,0.01594855355925884,0.039942699866779716,0.004940236710040221,0.02888838226395395,0.003001031358482101,-0.00483969068373066,0.08281408228517656,0.05305526174464489
a37a53c4e1fce137,0.04336884538996819,0.053677068036272195,-0.006362017345006389,0.044651213927624056,1.0,0.021190882045683198,0.04336884538996819,0.026557973806738373,0.047328512735258586,0.016457492654963053,0.08513073665761871,0.04336884538996819,0.01734778161939835,0.021456131409237997,0.6408362718383663,-0.010468161929265998,-0.020489110381238282,-0.021907622889154217,1.0,0.026058239920050724,0.044651213927624056,0.08126157496508524,0.021236627830707705,0.047328512735258586,-0.20791977735944756,0.005716836094623371,0.02605390102923552,-0.036073085591666935,0.05040096886631796,0.04791303966865972,0.06361961445146694,0.03065635069795943,0.01894709172835761,-0.028175214700261384,0.03322516123053424,0.012041910018030304,0.04303835216550314,0.0690358385015085,-0.012023798003121986,0.0077414506364789845
dcfbeec9cf4c5190,0.10399532082199475,0.7686937416066261,0.10232712794223375,0.008839764938549741,0.021190882045683198,1.0,0.10399532082199475,0.0622456810814739,-0.01629539629906253,0.3669199220128565,0.054123315640279925,0.10399532082199475,0.11892409925922148,0.3097625113753312,0.0220469596444779,0.004236886158953779,0.008447485915301492,0.01099692621981318,0.02119088204568321,0.01395443621623605,0.00883976493854974,0.2514416634613433,0.2092748609218865,-0.01629539629906253,-0.0660879957417333,-0.0190355490345015,0.11129007107476666,-0.07620213147192657,-0.03874099321761328,-0.05869846532441755,-0.1136107482733613,-0.03520598720677229,0.1955948383198834,0.02735897055913346,-0.017843190836039177,0.052409715837553286,0.20049422576072745,0.0023158676971585545,0.042505235034527244,-0.006543785189558608
ef3f1ebb21d03d5c,1.0,0.19706173791074422,0.186152948141702,0.04748369105543082,0.04336884538996819,0.10399532082199475,1.0,0.42498056828182823,-0.043966577981052454,-0.0016566202726775135,0.7755583332886845,1.0,0.05523781738529435,0.05882788409206027,0.012117377024044139,0.01968317643627893,0.020573713371977276,0.021984780611434045,0.04336884538996819,-0.008649195900787846,0.04748369105543082,0.42172800672819377,0.04616025040402395,-0.043966577981052454,-0.009052706089681182,-0.012923073584381592,0.01721511799542878,-0.0030179335161648582,-0.010525330998390658,0.0073674415052598285,-0.003915897298222792,0.0037585605480762387,0.025353232490594416,-0.0016654584353760777,-0.0025023663646589847,0.4454788754586262,0.354476795769477,0.0015602859319023504,0.04410114866251125,0.016416418499138868
292441755c5ffdcc,0.42498056828182823,0.17047437285223954,0.02199744539108342,0.01560937689811099,0.026557973806738373,0.0622456810814739,0.42498056828182823,1.0,-0.01987309597520472,0.26542097464154657,0.3290111435505677,0.4249805682818283,0.020070000551289328,0.01841414151721749,0.01023226146859221,0.007751596819816904,0.01585724749223901,0.020475005333702147,0.026557973806738366,-0.014048314623317489,0.015609376898110986,0.40118214076055125,0.021499240874745137,-0.01987309597520472,-0.019205770544993162,0.00964330864696819,-0.0004898890784162841,0.0030721425605896063,-0.014129373901049869,-0.018636402063944495,-0.011566273865348316,-0.006410180142735204,0.0005381114135824005,0.0021637715518531154,-0.004111049510897816,0.5361828076386479,0.30780488976937115,0.00044502218933033407,0.01623054840579005,-0.004495267471070952
7d30471f7325a2a8,-0.043966577981052454,-0.011949033442824733,-0.023136838514214636,-0.006490613023476301,0.047328512735258586,-0.01629539629906253,-0.043966577981052454,-0.01987309597520472,1.0,-0.008293181465862685,-0.03349365415206053,-0.04396657798105245,-0.012280255422877707,-0.02390488822675307,0.03750951685412971,0.01614514530692976,-0.0046761540363961475,-0.005470099728333899,0.04732851273525857,0.010411800316028836,-0.006490613023476301,0.0037281045736914384,-0.009602746246600836,1.0,-0.03053302299311792,0.01855895286510193,-0.012830698404660269,0.0005262736686877234,0.015832632221882408,-0.01152957965244766,-0.0059826949214594576,-0.005186375092978181,0.008062761966604307,0.12202043702372721,0.24501135986122718,-0.009764345458612305,0.000872808974315392,0.0043921731212567825,-0.01132973938799391,-0.008153890590110048
f173207ae9bd5ccd,-0.0016566202726775135,0.3617145978453293,-0.018973027544467655,0.006698055423901641,0.016457492654963053,0.3669199220128565,-0.0016566202726775135,0.26542097464154657,-0.008293181465862685,1.0,-0.005011270802890474,-0.0016566202726775135,0.03450270784005221,0.19302073646765347,0.02830131322530864,-0.020872248991763293,0.00570301138562027,0.010519496479377133,0.016457492654963032,-0.019348131659812855,0.006698055423901643,0.1400910898626173,0.061869630786738454,-0.008293181465862685,-0.04258841082269018,-0.025599643299141862,-0.027343391395871185,-0.0469555394030522,-0.006223591704608312,-0.04342118015485957,-0.01314983656756948,-0.018802141141374285,0.10413562033350013,0.05770649302202982,-0.02298413803622564,-0.0027354545633993996,-0.01563363973129138,0.003473359736198807,-0.018655753480482366,-0.024891635494836556
