period,drawdown
2019-07-11,-0.01651678
2019-07-16,-0.00577894
2019-07-18,-0.00541294
2019-07-25,-0.0024368
2019-07-26,0.0
2019-07-29,0.0
2019-07-30,0.0
2019-07-31,0.0
2019-08-01,-0.00389824
2019-08-08,-0.00737433
2019-08-09,-0.00759088
2019-08-12,-0.00196408
2019-08-13,-0.0043418
2019-08-14,-0.00466198
2019-08-15,-0.0051538
2019-08-23,-0.02177328
2019-08-26,-0.03754772
2019-08-28,-0.03929873
2019-08-29,-0.04325338
2019-08-30,-0.04286362
2019-09-03,-0.05067191
2019-09-04,-0.04104822
2019-09-06,-0.04435467
2019-09-09,-0.04995749
2019-09-10,-0.04104005
2019-09-11,-0.04352849
2019-09-12,-0.04743317
2019-09-13,-0.04730907
2019-09-17,-0.04631133
2019-09-18,-0.0462658
2019-09-19,-0.03360951
2019-09-20,-0.03329955
2019-09-24,-0.03039315
2019-09-25,-0.03518625
2019-09-26,-0.03110121
2019-09-30,-0.01891233
2019-10-03,-0.04778909
2019-10-09,-0.03249221
2019-10-14,-0.03792467
2019-10-16,-0.03688135
2019-10-17,-0.03445456
2019-10-18,-0.02745556
2019-10-23,-0.03136342
2019-10-24,-0.03026515
2019-10-25,-0.03254138
2019-10-29,-0.0312456
2019-11-06,-0.02858314
2019-11-07,-0.02587267
2019-11-08,-0.02738522
2019-11-11,-0.02590504
2019-11-22,-0.02518364
2019-11-25,-0.02547751
2019-12-02,0.0
2019-12-03,0.0
2019-12-06,0.0
2019-12-09,0.0
2019-12-11,0.0
2019-12-12,0.0
2019-12-16,0.0
2019-12-19,0.0
2019-12-20,0.0
2019-12-24,0.0
2019-12-26,0.0
2020-01-02,0.0
2020-01-14,0.0
2020-01-28,-0.00068594
2020-02-04,0.0
2020-02-10,-0.00027064
2020-02-11,-0.00074348
2020-02-12,0.0
2020-02-13,0.0
2020-02-25,0.0
2020-03-02,0.0
2020-03-03,-0.0144361
2020-03-04,-0.02693078
2020-03-05,0.0
2020-03-06,0.0
2020-03-09,-0.03959607
2020-03-10,-0.04811965
2020-03-11,-0.05902655
2020-03-12,-0.07366592
2020-03-13,-0.07770874
2020-03-16,-0.09675087
2020-03-17,-0.11843607
2020-03-18,-0.14064293
2020-03-19,-0.1711412
2020-03-20,-0.21286535
2020-03-23,-0.31171125
2020-03-24,-0.53565912
2020-03-25,-0.78636251
2020-03-26,-0.81173975
2020-03-27,-0.96874002
2020-03-30,-1.07198126
2020-03-31,-1.0796904
2020-04-01,-1.08598727
2020-04-02,-1.1154624
2020-04-03,-1.11816156
2020-04-06,-1.1696454
2020-04-07,-1.21092838
2020-04-08,-1.22654622
2020-04-09,-1.2269698
2020-04-13,-1.06018332
2020-04-14,-1.02682316
2020-04-15,-0.85278117
2020-04-16,-0.6488222
2020-04-17,-0.51273338
2020-04-20,-0.51914934
2020-04-21,-0.53375414
2020-04-22,-0.43020476
2020-04-23,-0.40558994
2020-04-24,-0.40904978
2020-04-27,-0.34643845
2020-05-01,-0.27188864
2020-05-04,-0.12649568
2020-05-05,-0.11832129
2020-05-06,-0.08811324
2020-05-07,0.0
2020-05-08,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,-0.00089491
2020-05-15,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-26,0.0
2020-05-27,-0.00077384
2020-05-28,0.0
2020-05-29,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,-0.00145518
2020-06-26,0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-06,-0.00267745
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-13,0.0
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-21,-9.277e-05
2020-09-22,-0.01008998
2020-09-23,0.0
2020-09-24,-0.00366314
2020-09-25,-0.0198706
2020-09-28,-0.00623184
2020-09-29,0.0
2020-09-30,-0.01131693
2020-10-01,-0.02157071
2020-10-02,-0.07119574
2020-10-05,-0.10538227
2020-10-06,-0.19722433
2020-10-07,-0.1864992
2020-10-08,-0.17048753
2020-10-09,-0.1697692
2020-10-12,-0.16880561
2020-10-13,-0.16547443
2020-10-14,-0.16516248
2020-10-15,-0.16477115
2020-10-16,-0.09940656
2020-10-19,-0.07250744
2020-10-20,-0.05191069
2020-10-21,-0.05113183
2020-10-22,-0.03912975
2020-10-26,-0.03874479
2020-10-27,-0.03599817
2020-10-28,-0.04276799
2020-10-29,-0.06730665
2020-10-30,-0.12230319
2020-11-02,-0.13692417
2020-11-03,-0.10518839
2020-11-04,-0.09003935
2020-11-06,-0.07173235
2020-11-09,-0.07128898
2020-11-10,-0.02758855
2020-11-11,-0.01330443
2020-11-12,-0.01027839
2020-11-13,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,-0.00251642
2020-11-23,-0.00168811
2020-11-24,-0.01956046
2020-11-25,-0.01825403
2020-11-27,-0.01433515
2020-11-30,-0.00453538
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,-0.00551633
2020-12-10,-0.00421455
2020-12-11,-0.00319686
2020-12-14,-0.0030756
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-04,-0.00195794
2021-01-05,-0.01640979
2021-01-06,-0.01070314
2021-01-07,0.0
2021-01-08,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,-0.00030052
2021-01-15,0.0
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,0.0
2021-01-22,0.0
2021-01-27,0.0
2021-01-28,0.0
2021-01-29,-0.00168414
2021-02-01,-0.00058266
2021-02-02,0.0
2021-02-05,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-19,0.0
2021-02-22,-0.00768315
2021-02-23,-0.00773375
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,0.0
2021-03-01,0.0
2021-03-02,0.0
2021-03-05,-0.00111004
2021-03-08,-0.00281505
2021-03-09,-0.00739319
2021-03-10,0.0
2021-03-11,-0.00537622
2021-03-12,0.0
2021-03-15,-0.00067078
2021-03-16,-0.003848
2021-03-17,0.0
2021-03-18,-0.0047211
2021-03-19,-0.00720437
2021-03-22,-0.00294852
2021-03-23,-0.00305291
2021-03-24,-0.02082731
2021-03-25,-0.04085057
2021-03-26,-0.05037784
2021-03-30,-0.0210288
2021-03-31,0.0
2021-04-01,-2.042e-05
2021-04-05,0.0
2021-04-06,-0.02429616
2021-04-07,-0.04178916
2021-04-08,-0.04190751
2021-04-09,-0.03835294
2021-04-12,-0.03733012
2021-04-13,-0.03146343
2021-04-14,-0.02994289
2021-04-15,-0.02809816
2021-04-20,-0.02807128
2021-04-22,-0.04232671
2021-04-23,-0.03377107
2021-04-26,-0.02718991
2021-04-27,-0.02638161
2021-04-28,-0.02282549
2021-04-29,-0.00521399
2021-04-30,-0.00741696
2021-05-03,0.0
2021-05-04,-0.00064028
2021-05-06,-0.00248024
2021-05-07,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,-0.00090876
2021-05-13,-0.00065448
2021-05-17,-0.00394714
2021-05-21,0.0
2021-05-28,0.0
2021-06-02,0.0
2021-06-03,-0.00096671
2021-06-04,-0.00172652
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,-0.00519612
2021-06-11,-0.00488036
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.0
2021-06-17,0.0
2021-06-18,0.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-25,0.0
2021-06-28,0.0
2021-06-29,0.0
2021-07-01,0.0
2021-07-02,0.0
2021-07-06,0.0
2021-07-07,0.0
2021-07-08,0.0
2021-07-09,0.0
2021-07-12,0.0
2021-07-13,0.0
2021-07-14,0.0
2021-07-15,0.0
2021-07-16,0.0
2021-07-19,-0.00102198
2021-07-20,-0.00223221
2021-07-22,-0.00148592
2021-07-28,0.0
2021-08-03,-0.00037393
2021-08-04,-0.00198964
2021-08-05,-0.00520672
2021-08-11,0.0
2021-08-13,0.0
2021-08-16,0.0
2021-08-17,0.0
2021-08-18,0.0
2021-08-19,0.0
2021-08-23,-0.00079312
2021-08-26,-0.00038536
2021-08-27,-7.96e-06
2021-08-30,0.0
2021-08-31,0.0
2021-09-02,-0.00153619
2021-09-03,0.0
2021-09-07,0.0
2021-09-10,0.0
2021-09-20,0.0
2021-09-21,-0.00034521
