symbol,event_date,bars_path,status,first15_return,first15_volume,control_first15_volume_median,first15_volume_ratio,positive_oracle_candidate,entry_price,exit_price,gross_return,net_return_after_500bps
CABA,2024-01-08,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CABA_2024-01-08\bars.csv,evaluated,0.0035587189,10510.0,7377.0,1.424698,False,,,0.0,0.0
CABA,2024-03-21,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CABA_2024-03-21\bars.csv,evaluated,-0.0491712707,27908.0,11351.0,2.458638,False,,,0.0,0.0
CRMD,2022-03-30,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2022-03-30\bars.csv,purged_incomplete_intraday_window,,,,,False,,,0.0,0.0
CRMD,2022-05-13,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2022-05-13\bars.csv,evaluated,0.0341614907,6821.0,5660.0,1.205124,False,,,0.0,0.0
CRMD,2022-08-11,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2022-08-11\bars.csv,evaluated,0.027607362,50341.0,25627.0,1.964374,False,,,0.0,0.0
CRMD,2022-11-10,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2022-11-10\bars.csv,purged_incomplete_intraday_window,,,,,False,,,0.0,0.0
CRMD,2023-03-30,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2023-03-30\bars.csv,purged_incomplete_intraday_window,,,,,False,,,0.0,0.0
CRMD,2023-05-16,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2023-05-16\bars.csv,evaluated,-0.0181451613,12619.0,3227.0,3.910443,False,,,0.0,0.0
CRMD,2023-08-08,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2023-08-08\bars.csv,evaluated,0.0402439024,18168.0,4424.0,4.106691,True,4.25,4.43,0.0423529412,-0.0076470588
CRMD,2023-11-15,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2023-11-15\bars.csv,evaluated,0.0054347826,178252.0,7562.0,23.572071,True,3.69,3.325,-0.0989159892,-0.1489159892
CRMD,2024-03-12,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2024-03-12\bars.csv,purged_incomplete_intraday_window,,,,,False,,,0.0,0.0
CRMD,2024-05-09,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2024-05-09\bars.csv,evaluated,-0.052991453,42838.0,10840.0,3.951845,False,,,0.0,0.0
IOVA,2022-02-25,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2022-02-25\bars.csv,evaluated,0.0853916725,69783.0,19291.0,3.617386,True,15.46,15.49,0.0019404916,-0.0480595084
IOVA,2022-05-06,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2022-05-06\bars.csv,evaluated,-0.0211978466,47886.0,24231.0,1.976229,False,,,0.0,0.0
IOVA,2022-08-05,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2022-08-05\bars.csv,evaluated,0.0231759657,130165.0,61064.0,2.131616,False,,,0.0,0.0
IOVA,2022-11-04,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2022-11-04\bars.csv,evaluated,-0.012195122,64860.0,33668.0,1.926458,False,,,0.0,0.0
IOVA,2023-03-01,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2023-03-01\bars.csv,evaluated,0.031420765,89977.0,37106.0,2.424864,False,,,0.0,0.0
IOVA,2023-05-10,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2023-05-10\bars.csv,evaluated,-0.0052493438,118798.0,55460.0,2.142048,False,,,0.0,0.0
IOVA,2023-07-11,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2023-07-11\bars.csv,evaluated,-0.0114795918,841272.0,55543.0,15.146319,False,,,0.0,0.0
IOVA,2023-08-09,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2023-08-09\bars.csv,evaluated,0.072027972,162446.0,47061.0,3.451818,True,7.755,7.6,-0.0199871051,-0.0699871051
IOVA,2023-11-08,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2023-11-08\bars.csv,evaluated,0.0155902004,181452.0,53768.0,3.374721,True,4.57,4.175,-0.0864332604,-0.1364332604
IOVA,2024-02-20,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2024-02-20\bars.csv,evaluated,0.1003430532,2420789.0,194332.0,12.456976,True,12.93,12.005,-0.0715390565,-0.1215390565
IOVA,2024-02-29,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2024-02-29\bars.csv,evaluated,0.0137231504,613682.0,327640.0,1.873037,False,,,0.0,0.0
