period,bcfc1ff3b7cf8a4a,9c7fb1982851f609,dcfbeec9cf4c5190
2022-02-04,0.0,-0.923076,0.0
2022-02-07,0.0,-0.030684999999999962,0.0
2022-02-08,0.0,-0.21923100000000006,0.0
2022-02-09,0.0,0.06771100000000008,0.0
2022-02-10,0.0,0.10836199999999996,0.0
2022-02-14,0.0,-0.08012499999999989,0.0
2022-02-16,0.0,-0.23561900000000002,0.0
2022-02-17,0.0,0.087615,0.0
2022-02-22,0.0,-0.24962700000000004,0.0
2022-02-25,0.0,-0.022863999999999995,0.0
2022-02-28,0.0,0.21415099999999998,0.0
2022-03-15,0.0,-0.21595699999999995,0.0
2022-03-22,0.0,-0.1819550000000001,0.0
2022-03-23,0.0,-0.15565699999999993,0.0
2022-03-24,0.0,0.18504600000000004,0.0
2022-03-31,0.0,0.16276599999999997,0.0
2022-04-01,0.0,0.2855159999999999,0.0
2022-04-04,0.0,0.128641,0.0
2022-04-05,0.0,0.11306100000000008,0.0
2022-04-06,0.0,0.19852099999999995,0.0
2022-04-12,0.0,0.28248700000000004,0.0
2022-04-13,0.0,-0.042505000000000015,0.0
2022-04-14,-0.317277,0.0,0.0
2022-04-19,-0.357458,0.0,0.0
2022-04-20,-0.41041399999999995,0.0,0.0
2022-04-21,-0.516089,0.0,0.0
2022-04-22,-0.864986,0.0,0.0
2022-04-25,-0.9270149999999999,0.0,-0.399359
2022-04-26,-0.4142380000000001,0.0,0.0
2022-04-27,-0.423702,0.0,0.0
2022-05-09,0.0,-0.343666,0.0
2022-05-10,0.0,-0.3542549999999999,0.0
2022-05-12,-0.3309629999999997,0.0,0.0
2022-05-17,0.0,-0.13487100000000019,0.0
2022-05-18,0.0,-0.005128000000000021,0.0
2022-05-19,0.0,0.052041000000000004,0.0
2022-05-20,0.0,-0.08927699999999983,0.0
2022-05-23,0.0,-0.018575000000000008,0.0
2022-05-26,0.0,-0.7082490000000001,0.0
2022-05-27,0.0,-0.17181299999999977,0.0
2022-06-06,0.0,-0.23055599999999998,0.0
2022-06-07,0.0,-0.27401500000000034,0.0
2022-06-08,0.0,0.7075230000000001,0.0
2022-06-09,0.0,1.021865,0.0
2022-06-10,0.0,0.998622,0.0
2022-06-13,0.0,-0.08020100000000001,0.0
2022-06-21,0.0,-0.5827720000000001,0.0
2022-06-22,0.0,-0.27535199999999993,0.0
2022-06-23,0.0,-0.24548900000000007,0.0
2022-06-27,0.2422279999999999,0.0,0.0
2022-06-28,0.06301000000000023,0.3865280000000001,0.0
2022-06-29,-0.0895330000000003,0.48900699999999997,0.0
2022-06-30,-0.04268099999999997,0.58893,0.0
2022-07-01,-0.037214999999999776,0.701181,0.0
2022-07-05,-0.10304300000000044,0.39,0.0
2022-07-07,-0.1690649999999998,0.0,0.0
2022-07-08,-0.15322600000000008,0.0,0.0
2022-07-11,-0.21173299999999973,0.0,0.0
2022-07-12,-0.22343200000000074,0.0,0.0
2022-07-13,-0.17579099999999936,0.8712599999999999,0.0
2022-07-14,-0.127834,0.886142,0.0
2022-07-15,-0.118398,0.545798,0.0
2022-07-18,-0.13646000000000047,0.3900000000000001,0.0
2022-07-19,-0.004750999999999728,0.0,0.0
2022-07-20,-0.09910399999999964,0.0,0.0
2022-07-21,-0.0975810000000008,0.0,0.0
2022-07-22,-0.12215699999999963,0.0,0.0
2022-07-25,-0.15722099999999983,0.0,0.0
2022-07-28,0.000496000000000052,0.0,0.0
2022-07-29,-0.00852500000000056,0.5112719999999995,0.0
2022-08-01,-0.03912099999999974,0.0,-0.03912099999999996
2022-08-02,-0.04280599999999968,0.0,-0.04280600000000001
2022-08-03,0.4217589999999998,0.0,0.024999999999999967
2022-08-04,-0.045763,0.0,0.0
2022-08-05,-0.054853999999999736,0.0,-0.054854000000000014
2022-08-08,-0.0620390000000004,0.0,0.0
2022-08-10,0.0,0.8811070000000001,0.0
2022-08-11,-0.31035599999999963,0.0,0.0
2022-08-12,-0.07064599999999999,0.0,-0.042126
2022-08-15,-0.26499000000000006,0.0,-0.18334399999999995
2022-08-16,-0.03881900000000016,0.0,0.0
2022-08-17,-0.42165500000000034,0.0,-0.176087
2022-08-18,0.011557999999999957,0.0,-0.315082
2022-08-19,-0.018288999999999334,0.0,-0.34802500000000003
2022-08-22,0.10700099999999946,-0.04148899999999944,-0.363653
2022-08-23,-0.3390909999999998,1.1868049999999997,0.0
2022-08-24,-0.32889899999999983,0.5936890000000004,-0.32889899999999983
2022-08-25,-0.3477940000000004,0.0,-0.3477940000000004
2022-08-26,-0.08449099999999987,0.5482909999999999,-0.37181799999999976
2022-08-29,0.16855400000000031,0.0,0.0
2022-08-30,0.42678800000000017,0.0,0.0
2022-08-31,-0.25256600000000073,0.0,-0.47131100000000004
2022-09-01,-0.30796399999999924,0.0,0.0
2022-09-02,-0.5529039999999998,0.0,-0.5125950000000001
2022-09-06,-0.6426940000000005,0.0,-0.5790859999999998
2022-09-07,-0.04678200000000032,0.13272399999999962,0.0
2022-09-08,-0.14190900000000006,-0.11950599999999945,0.0
2022-09-09,-0.3728809999999996,0.0,0.0
2022-09-12,-0.27709199999999967,0.0,0.0
2022-09-13,-0.35624699999999976,0.0,0.0
2022-09-14,-0.31672100000000114,0.0,0.0
