candidate_id,label,source_path,trade_count,total_pnl,median_pnl,median_return_pct,win_rate,top1_pnl,top3_pnl,top1_contribution_pct,top3_contribution_pct,pnl_excluding_top1,pnl_excluding_top3,sign_flip_excluding_top3,robustness_score,diagnostic_verdict
DX-PROVIDER-REPLAY,Provider-aware bounded replay,experiments\runs\provider_aware_oos_replay_bounded_20260520\portfolio_trade_log.csv,27,-1102.975928,221.611767,0.01559089,0.592593,3496.681359,7440.464779,-317.022454,-674.580885,-4599.657287,-8543.440707,False,25,NEGATIVE_TOTAL_PNL_NO_PROMOTION
DX-RANKEX-001,RankEx validation 2024,experiments\runs\small_cap_rankex_trial_001_validation_2024\portfolio_trade_log.csv,100,5616.493401,-40.525014,-0.00713066,0.47,4426.991913,11899.038294,78.821279,211.858849,1189.501488,-6282.544893,True,20,NEGATIVE_MEDIAN_TRADE_NO_PROMOTION
DX-OOS-2025-RISK,Small-cap OOS 2025 full risk sizing,experiments\runs\small_cap_oos_open_to_close_010_iwm_ema200_2025_full_risk_sizing_20260512\portfolio_trade_log.csv,30,923.824159,-85.951743,-0.01284481,0.466667,3624.625063,7897.805606,392.350105,854.903558,-2700.800903,-6973.981447,True,20,NEGATIVE_MEDIAN_TRADE_NO_PROMOTION
DX-XMOM-001,XMOM trial 001,experiments\runs\xmom_trial_001_20260520\portfolio_trade_log.csv,11,109363.252898,-1232.395461,-0.00949004,0.454545,66657.140802,159448.57174,60.950218,145.79721,42706.112096,-50085.318842,True,5,NEGATIVE_MEDIAN_TRADE_NO_PROMOTION
