run_id,trial_id,signal_date,entry_date,exit_date,selected_symbol,realized_volatility_60d,median_dollar_volume_60d,signal_close,entry_open,exit_close,gross_return,round_trip_cost_bps,net_return,provider_query_performed,market_data_downloaded,parameter_sweep_performed,paper_trading_performed,live_trading_performed,promotion_allowed
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-01-02,2025-01-03,2025-01-13,IOVA,0.0376933276,13864815.06,7.8,7.82,5.81,-0.2570332481,500,-0.3070332481,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-01-10,2025-01-13,2025-01-21,IOVA,0.0398606373,14601309.2,6.42,6.37,5.92,-0.0706436421,500,-0.1206436421,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-01-17,2025-01-21,2025-01-28,IOVA,0.0401130995,14557588.775,5.92,5.96,6.24,0.0469798658,500,-0.0030201342,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-01-27,2025-01-28,2025-02-04,IOVA,0.0389342229,14490430.4,6.28,6.31,5.78,-0.0839936609,500,-0.1339936609,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-02-03,2025-02-04,2025-02-11,IOVA,0.0378055834,14557588.775,5.7,5.71,5.28,-0.0753064799,500,-0.1253064799,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-02-10,2025-02-11,2025-02-19,IOVA,0.0369557593,13962980.61,5.32,5.35,5.67,0.0598130841,500,0.0098130841,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-02-18,2025-02-19,2025-02-26,IOVA,0.0348270172,13310796.995,5.57,5.64,5.37,-0.0478723404,500,-0.0978723404,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-02-25,2025-02-26,2025-03-05,IOVA,0.0332116577,12514639.96,5.39,5.36,4.05,-0.2444029851,500,-0.2944029851,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-03-04,2025-03-05,2025-03-12,IOVA,0.0427728003,13310796.995,3.94,4.0,3.82,-0.045,500,-0.095,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-03-11,2025-03-12,2025-03-19,IOVA,0.0436882545,13310796.995,3.9,3.97,3.57,-0.1007556675,500,-0.1507556675,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-03-18,2025-03-19,2025-03-26,IOVA,0.044487521,12585877.4,3.6,3.58,3.46,-0.0335195531,500,-0.0835195531,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-03-25,2025-03-26,2025-04-02,IOVA,0.044163865,12155298.685,3.47,3.5,3.37,-0.0371428571,500,-0.0871428571,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-04-01,2025-04-02,2025-04-09,IOVA,0.0437071183,10697320.89,3.25,3.27,3.27,0.0,500,-0.05,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-04-08,2025-04-09,2025-04-16,IOVA,0.0442535418,9788920.4,2.8,2.8,3.07,0.0964285714,500,0.0464285714,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-04-15,2025-04-16,2025-04-24,IOVA,0.0506547439,9128658.89,3.23,3.24,3.35,0.0339506173,500,-0.0160493827,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-04-23,2025-04-24,2025-05-01,IOVA,0.0512734189,8272096.5,3.2,3.24,3.35,0.0339506173,500,-0.0160493827,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-04-30,2025-05-01,2025-05-08,IOVA,0.0519454404,7568696.51,3.59,3.6,1.93,-0.4638888889,500,-0.5138888889,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-05-07,2025-05-08,2025-05-15,ARRY,0.0535316988,7376225.205,5.04,5.12,8.46,0.65234375,500,0.60234375,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-05-14,2025-05-15,2025-05-22,AEHR,0.0551627615,1576948.335,9.39,9.3,8.83,-0.0505376344,500,-0.1005376344,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-05-21,2025-05-22,2025-05-30,AEHR,0.0531040069,1395444.995,8.47,8.49,9.54,0.1236749117,500,0.0736749117,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-05-29,2025-05-30,2025-06-06,AEHR,0.0539727587,1281167.63,9.99,9.88,11.34,0.1477732794,500,0.0977732794,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-06-05,2025-06-06,2025-06-13,AEHR,0.0557550171,1234241.43,11.09,11.21,11.36,0.0133809099,500,-0.0366190901,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-06-12,2025-06-13,2025-06-23,AEHR,0.0548736224,1234241.43,11.97,11.51,11.32,-0.0165073849,500,-0.0665073849,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-06-20,2025-06-23,2025-06-30,CRMD,0.0448195947,4468552.275,13.54,13.42,12.32,-0.0819672131,500,-0.1319672131,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-06-27,2025-06-30,2025-07-08,AEHR,0.0557062871,1467368.91,12.55,12.75,11.75,-0.0784313725,500,-0.1284313725,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-07-07,2025-07-08,2025-07-15,CRMD,0.0549272998,4711962.045,11.55,11.7,11.42,-0.0239316239,500,-0.0739316239,False,False,False,False,False,False
