symbol,sleeve,regime_label,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit
DVAX-202602,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-01-07,2026-01-08,2026-02-06,15.420000076293945,15.5,0.4047401524435752,0.00518806247148107,0.01,-0.0048119375285189305,0.05,-0.00024059687642594653,False
FTAI,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-01-07,2026-01-08,2026-02-06,241.18344116210938,271.69012451171875,0.35608216433816753,0.1264874702948806,0.01,0.11648747029488062,0.05,0.005824373514744031,False
FSLY,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-04-06,2026-04-07,2026-05-05,31.6299991607666,32.36000061035156,0.5660378287666823,0.023079401484475737,0.01,0.013079401484475736,0.05,0.0006539700742237869,False
PAYS,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-04-06,2026-04-07,2026-05-05,5.849999904632568,6.75,0.5578947764684623,0.15384617265629852,0.01,0.1438461726562985,0.05,0.007192308632814926,False
ADV,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-04-06,2026-04-07,2026-05-05,23.399999618530273,37.779998779296875,0.4718749523162842,0.6145298886833825,0.01,0.6045298886833825,0.05,0.030226494434169127,False
ADTN,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-04-06,2026-04-07,2026-05-05,12.880000114440918,15.300000190734863,0.3482794681381294,0.18788820301178943,0.01,0.17788820301178943,0.05,0.008894410150589472,False
FCEL,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-05-04,2026-05-05,2026-06-01,13.199999809265137,21.309999465942383,0.9520240343082544,0.6143939222623929,0.01,0.6043939222623929,0.05,0.030219696113119643,True
AVNS,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-05-04,2026-05-05,2026-06-01,24.700000762939453,25.049999237060547,0.783080259107038,0.014169978271670436,0.01,0.004169978271670436,0.05,0.0002084989135835218,True
RPAY,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-05-04,2026-05-05,2026-06-01,3.825000047683716,4.03000020980835,0.6326530294485866,0.053594812959224525,0.01,0.04359481295922452,0.05,0.0021797406479612262,True
ADV,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-05-04,2026-05-05,2026-06-01,36.619998931884766,37.439998626708984,0.5554141084841624,0.022392127764653047,0.01,0.012392127764653047,0.05,0.0006196063882326524,True
TZOO,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-05-04,2026-05-05,2026-06-01,9.279999732971191,10.710000038146973,0.5424293019516842,0.1540948649055549,0.01,0.1440948649055549,0.05,0.007204743245277746,True
