date,period_net_return,cumulative_weighted_net_return,drawdown
2025-02-18,-0.00022969556183910457,-0.00022969556183910457,0.0
2025-02-24,-0.029435952071681152,-0.029665647633520257,-0.029435952071681152
2025-06-18,0.033354290844271696,0.003688643210751439,0.0
2025-09-15,0.008050142406640351,0.01173878561739179,0.0
2025-10-13,0.04658415301716454,0.05832293863455633,0.0
2026-01-05,0.0017082576757426532,0.06003119631029898,0.0
2026-01-06,-0.00020008012840514412,0.05983111618189384,-0.00020008012840514594
2026-01-08,-0.007237170415438758,0.052593945766455076,-0.007437250543843907
2026-02-06,0.0072681124796234245,0.0598620582460785,-0.00016913806422048233
2026-05-05,0.04696718329179731,0.10682924153787582,0.0
2026-06-01,0.04043228530817479,0.1472615268460506,0.0
