date,regime_label,spy_close,iwm_close,spy_sma_60,iwm_sma_60,spy_vol_20,iwm_vol_20,spy_drawdown_60,iwm_drawdown_60
2024-06-03,INSUFFICIENT_HISTORY,515.2609,200.13382,,,,,,
2024-06-04,INSUFFICIENT_HISTORY,515.8369,197.55157,,,,,,
2024-06-05,INSUFFICIENT_HISTORY,521.96765,200.57397,,,,,,
2024-06-06,INSUFFICIENT_HISTORY,521.9579,199.13614,,,,,,
2024-06-07,INSUFFICIENT_HISTORY,521.32336,196.79842,,,,,,
2024-06-10,INSUFFICIENT_HISTORY,522.93414,197.47333,,,,,,
2024-06-11,INSUFFICIENT_HISTORY,524.19354,196.79869,,,,,,
2024-06-12,INSUFFICIENT_HISTORY,528.4987,199.81973,,,,,,
2024-06-13,INSUFFICIENT_HISTORY,529.56287,198.0738,,,,,,
2024-06-14,INSUFFICIENT_HISTORY,529.8851,194.92526,,,,,,
2024-06-17,INSUFFICIENT_HISTORY,534.10236,196.5633,,,,,,
2024-06-18,INSUFFICIENT_HISTORY,535.45935,196.90659,,,,,,
2024-06-20,INSUFFICIENT_HISTORY,534.00476,196.07286,,,,,,
2024-06-21,INSUFFICIENT_HISTORY,533.2889,196.51425,,,,,,
2024-06-24,INSUFFICIENT_HISTORY,531.55536,197.3676,,,,,,
2024-06-25,INSUFFICIENT_HISTORY,533.6023,196.72023,,,,,,
2024-06-26,INSUFFICIENT_HISTORY,534.26825,196.20038,,,,,,
2024-06-27,INSUFFICIENT_HISTORY,535.11053,198.19151,,,,,,
2024-06-28,INSUFFICIENT_HISTORY,533.0048,199.00562,,,,,,
2024-07-01,INSUFFICIENT_HISTORY,534.1018,197.33817,,,,,,
2024-07-02,INSUFFICIENT_HISTORY,537.69617,198.01497,,,0.004058424251363923,0.008909067832679179,,
2024-07-03,INSUFFICIENT_HISTORY,540.09564,197.96591,,,0.004082877212078849,0.008417233822792951,,
2024-07-05,INSUFFICIENT_HISTORY,543.21014,197.02429,,,0.003517641542022334,0.007678201830236163,,
2024-07-08,INSUFFICIENT_HISTORY,543.837,198.4073,,,0.0034918586528219363,0.007720406704252887,,
2024-07-09,INSUFFICIENT_HISTORY,544.3658,197.54414,,,0.0034172756982692597,0.007302357932719502,,
2024-07-10,INSUFFICIENT_HISTORY,549.75244,199.47643,,,0.003827811830435085,0.007582315771743059,,
2024-07-11,INSUFFICIENT_HISTORY,545.01215,206.64647,,,0.0045667351921286235,0.010890157723572163,,
2024-07-12,INSUFFICIENT_HISTORY,548.4498,209.05939,,,0.004447726417715607,0.010691125890556919,,
2024-07-15,INSUFFICIENT_HISTORY,549.9581,213.03185,,,0.004452078660300271,0.010977102670890042,,
2024-07-16,INSUFFICIENT_HISTORY,553.2195,220.29999,,,0.004529143687325007,0.011932426324689193,,
2024-07-17,INSUFFICIENT_HISTORY,545.4627,217.99496,,,0.005591795470118061,0.012482474539813621,,
2024-07-18,INSUFFICIENT_HISTORY,541.2709,213.77728,,,0.005908545399646398,0.013633165545120268,,
2024-07-19,INSUFFICIENT_HISTORY,537.6765,212.68854,,,0.00608545781916903,0.013662468644985973,,
2024-07-22,INSUFFICIENT_HISTORY,543.2199,216.07248,,,0.006460154523914993,0.013901176761318738,,
2024-07-23,INSUFFICIENT_HISTORY,542.36786,218.36769,,,0.006413467472293169,0.013960004641523933,,
2024-07-24,INSUFFICIENT_HISTORY,530.0764,213.67921,,,0.0082703978463041,0.015085997893027985,,
2024-07-25,INSUFFICIENT_HISTORY,527.3145,216.34714,,,0.008332677537735094,0.015101446779455213,,
2024-07-26,INSUFFICIENT_HISTORY,533.22034,219.92725,,,0.008734449825524364,0.015282832534474081,,
2024-07-29,INSUFFICIENT_HISTORY,533.5337,217.48492,,,0.008689467266139906,0.015719056565031708,,
2024-07-30,INSUFFICIENT_HISTORY,530.83057,218.30885,,,0.008750174650462985,0.015424369254331185,,
2024-07-31,INSUFFICIENT_HISTORY,539.45905,219.57414,,,0.009387249432521444,0.015419354569761456,,
2024-08-01,INSUFFICIENT_HISTORY,531.81976,212.43352,,,0.009854808323682178,0.01756857287520584,,
2024-08-02,INSUFFICIENT_HISTORY,521.91815,204.92017,,,0.010496873481683922,0.01956247214185119,,
2024-08-05,INSUFFICIENT_HISTORY,506.71796,198.32883,,,0.012089057370138564,0.02096121048962066,,
