iteration,reduced_trade_count,weighted_net_sum,win_rate_full_weight_subset,max_drawdown
0,26,0.07263950957624622,0.45454545454545453,-0.026739429257862112
1,26,0.10360553216065406,0.6363636363636364,-0.017952466390577224
2,26,0.06905017276709323,0.45454545454545453,-0.020687515308502113
3,26,0.09846908744413986,0.8181818181818182,-0.017433761901712412
4,26,0.12364552144621466,0.7272727272727273,-0.014717976035840512
5,26,0.0986820321545686,0.5454545454545454,-0.017414498849659427
6,26,0.08321490290024927,0.5454545454545454,-0.02348567585107241
7,26,0.11972573500332512,0.6363636363636364,-0.014717976035840512
8,26,0.09122633684015535,0.7272727272727273,-0.014717976035840512
9,26,0.10179902008168983,0.45454545454545453,-0.017971729442630213
10,26,0.08697861244890379,0.5454545454545454,-0.017433761901712412
11,26,0.11415576051365099,0.5454545454545454,-0.017971729442630213
12,26,0.09738890136940763,0.5454545454545454,-0.017971729442630213
13,26,0.1144011861314412,0.6363636363636364,-0.017433761901712412
14,26,0.11631308069947839,0.7272727272727273,-0.014717976035840512
15,26,0.09300355905865636,0.5454545454545454,-0.02348567585107241
16,26,0.08923475946248709,0.45454545454545453,-0.026739429257862112
17,26,0.07649362836144989,0.5454545454545454,-0.02348567585107241
18,26,0.1094058654600647,0.6363636363636364,-0.014717976035840512
19,26,0.08215608107124325,0.8181818181818182,-0.017952466390577224
20,26,0.09447568094072128,0.6363636363636364,-0.017433761901712412
21,26,0.07060298399461182,0.5454545454545454,-0.026739429257862112
22,26,0.09899495033039887,0.6363636363636364,-0.014698712983787526
23,26,0.08525791879481091,0.5454545454545454,-0.023466412799019426
24,26,0.0748796789023618,0.36363636363636365,-0.029455215123734012
25,26,0.11199904419661755,0.8181818181818182,-0.026201461716944312
26,26,0.09850685940996655,0.7272727272727273,-0.023466412799019426
27,26,0.07932648964910598,0.36363636363636365,-0.017971729442630213
28,26,0.08942641188400081,0.6363636363636364,-0.014717976035840512
29,26,0.08591022782328586,0.5454545454545454,-0.017414498849659427
30,26,0.07717317120670864,0.6363636363636364,-0.017952466390577224
31,26,0.10489721260009058,0.7272727272727273,-0.017414498849659427
32,26,0.10330002753758855,0.5454545454545454,-0.017433761901712412
