symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,sleeve_weight,weighted_net_return,forced_end_of_history_exit
AKRO-202512,Mean Reversion,2025-05-19,2025-05-20,2025-06-04,38.5600013733,52.9900016785,-0.0816277267,0.3742219863,0.01,0.3642219863,0.25,0.0910554966,False
AAL,Mean Reversion,2025-06-17,2025-06-18,2025-07-03,10.5550003052,11.6899995804,-0.1081080842,0.1075319036,0.01,0.0975319036,0.25,0.0243829759,False
AA,Mean Reversion,2025-07-17,2025-07-18,2025-08-01,29.5030765533,28.1359081268,-0.0690528647,-0.0463398596,0.01,-0.0563398596,0.25,-0.0140849649,False
AHL-202602,Mean Reversion,2025-08-14,2025-08-15,2025-08-29,28.9599990845,36.5,-0.0962939195,0.2603591559,0.01,0.2503591559,0.25,0.062589789,False
A,Mean Reversion,2025-09-12,2025-09-15,2025-09-29,123.2395477295,123.0010070801,-0.0427961423,-0.0019355852,0.01,-0.0119355852,0.25,-0.0029838963,False
ALEX-202603,Mean Reversion,2025-10-10,2025-10-13,2025-10-27,16.3224086761,16.745218277,-0.0707070685,0.0259036279,0.01,0.0159036279,0.25,0.003975907,False
ACLX-202604,Mean Reversion,2025-11-07,2025-11-10,2025-11-24,87.7799987793,74.9599990845,-0.0409971961,-0.1460469341,0.01,-0.1560469341,0.25,-0.0390117335,False
A,Mean Reversion,2025-12-08,2025-12-09,2025-12-23,141.7227478027,137.7987213135,-0.051032612,-0.0276880497,0.01,-0.0376880497,0.25,-0.0094220124,False
AL-202604,Mean Reversion,2026-01-07,2026-01-08,2026-01-23,63.9722061157,64.201423645,-0.0007781648,0.00358308,0.01,-0.00641692,0.25,-0.00160423,False
AAAU,Mean Reversion,2026-02-05,2026-02-06,2026-02-23,48.4000015259,51.6699981689,-0.1080623961,0.067561912,0.01,0.057561912,0.25,0.014390478,False
AAL,Mean Reversion,2026-03-06,2026-03-09,2026-03-23,10.8900003433,10.8100004196,-0.1446059245,-0.0073461819,0.01,-0.0173461819,0.25,-0.0043365455,False
AA,Mean Reversion,2026-05-04,2026-05-05,2026-05-19,63.3985443115,63.9300003052,-0.0727435035,0.0083827791,0.01,-0.0016172209,0.25,-0.0004043052,False
