Date,Open,High,Low,Close,Volume
2018-01-02,235.74358610597346,236.59734793924068,235.35631103559285,236.5621337890625,86655700
2018-01-03,236.72932153576673,238.2080200908072,236.72932153576673,238.05838012695312,90070400
2018-01-04,238.70098425961316,239.54593593694952,238.12007158752897,239.06182861328125,80636400
2018-01-05,239.85401408255126,240.77817751822775,239.36112333545296,240.65496826171875,83524000
2018-01-08,240.55808617431893,241.25342460074083,240.26764331091647,241.09500122070312,57319200
2018-01-09,241.51755670766337,242.2657032159506,241.235897127514,241.6407928466797,57254000
2018-01-10,240.88382771116105,241.53516882518736,240.21491980722283,241.27110290527344,69574300
2018-01-11,241.82554924347087,243.0313720703125,241.65831559560675,243.0313720703125,62361500
2018-01-12,243.2955041380164,244.7829600066717,242.99622405262795,244.61575317382812,90816100
2018-01-16,245.87430929487635,246.5256233589057,243.084172029904,243.77951049804688,106555100
2018-01-17,244.71248407935101,246.49040923677632,243.77951052678327,246.10313415527344,113258800
2018-01-18,245.98875205570212,246.41121445686719,245.1965813324595,245.6894989013672,100728000
2018-01-19,246.2703511928904,246.80726623535156,245.6894654703297,246.80726623535156,140920100
2018-01-22,246.59594253134264,248.81394958496094,246.54310789768275,248.81394958496094,91322400
2018-01-23,248.85804057747723,249.63259068853083,248.53238356726726,249.34214782714844,97084700
2018-01-24,249.9846209056405,250.58315392012776,248.06586636824062,249.2452850341797,134816100
2018-01-25,250.10786276354497,250.2046680875177,248.55876269579983,249.3509063720703,84587300
2018-01-26,250.1871253122653,252.28192418600324,249.93186971272266,252.23789978027344,107743100
2018-01-29,251.6657128471716,252.10579559346212,250.40708263930532,250.5655059814453,90118300
2018-01-30,248.7348499334868,250.61839069835986,247.52021688316722,247.99551391601562,131796400
2018-01-31,248.8493424937056,249.3510166989814,247.04498607996672,248.11878967285156,108364800
2018-02-01,247.38821560227782,249.13973700377733,247.0449380364705,247.8370819091797,90102500
2018-02-02,246.5168725544824,246.6489189381392,242.40651252489292,242.4417266845703,173174800
2018-02-05,240.681334388842,242.79372681065547,231.75644081648184,232.30213928222656,294681800
2018-02-06,228.79031712974927,237.38074456875086,227.69892005236255,236.87904357910156,355026800
2018-02-07,236.32453525026932,239.72196260327064,235.51477083413027,235.59400939941406,167376100
2018-02-08,235.89329903889058,236.03412882262248,226.7219574697927,226.75717163085938,246449500
2018-02-09,229.54721856312062,232.02048219017414,222.61152153411334,230.16334533691406,283565300
2018-02-12,232.21418415174242,235.01313244804345,230.30423897207598,233.54324340820312,143736000
2018-02-13,232.33736425528434,234.66979822260853,231.75645161163467,234.1240997314453,81223600
2018-02-14,232.63667535917318,237.64482209210516,232.62786510372453,237.28395080566406,120735700
2018-02-15,239.02667178606794,240.3205167977766,236.5621910272961,240.31170654296875,111200300
2018-02-16,239.68675318827144,242.32725054515024,239.64272878267326,240.38206481933594,160420100
2018-02-20,239.43155354996446,240.87503866881957,238.0849006576347,238.87704467773438,86369700
2018-02-21,239.31707860169553,241.7991526348577,237.59196113335105,237.6887664794922,98883700
2018-02-22,238.61296827236853,240.32927557049345,237.32793364711858,237.99684143066406,110511300
2018-02-23,239.2203354791117,241.7904052734375,238.74503829666784,241.7904052734375,92766400
2018-02-26,242.86417085379668,244.69493097156393,242.274474741448,244.5980987548828,86491400
2018-02-27,244.78296516081906,245.495924366862,241.48234250179192,241.54396057128906,99099200
2018-02-28,242.64411317159698,243.09300634693332,238.78019908798586,239.0970458984375,121907800
2018-03-01,238.8857993934386,240.4348997734121,234.12409926408978,235.62039184570312,176855100
2018-03-02,233.94806390250494,237.39832573097647,233.08551859078392,236.8350067138672,139083200
2018-03-05,235.6468848409149,240.1885452407491,235.5412423437239,239.57241821289062,97307400
2018-03-06,240.54931159065572,240.6285501529497,238.68336432101546,240.17965698242188,79213200
2018-03-07,238.01449598620087,240.44373582436765,237.82085839629667,240.0916748046875,87063500
2018-03-08,240.769386869871,241.37670352923723,239.77482190099204,241.2534942626953,66901200
2018-03-09,242.66179293491425,245.451904296875,242.34491918655516,245.451904296875,113625300
2018-03-12,245.7423167630409,246.36722699736953,244.75650844539223,245.14378356933594,71924800
2018-03-13,246.30556086833784,246.807261752872,242.9521317736514,243.5594482421875,91968900
2018-03-14,244.51890227060835,244.7037296005574,241.75519513417626,242.30967712402344,105895100
2018-03-15,242.82012815022333,243.46263194836675,241.54387708563357,242.0455780029297,83433000
2018-03-16,242.5731561796535,243.35965403873402,242.2550403949287,242.3080596923828,100343700
2018-03-19,241.5569109929973,242.4847756433966,237.3770433606268,239.029541015625,109208400
2018-03-20,239.4272659095059,240.0723701132613,238.7556520517941,239.4361114501953,59757300
2018-03-21,239.39192893992308,241.48627266625962,238.76451576978116,238.97659301757812,78709600
2018-03-22,236.74963315890716,237.59796887507576,232.72882336769504,233.00279235839844,148785900
2018-03-23,233.44464923481146,233.771610570164,227.84202490130033,228.03643798828125,183534800
2018-03-26,231.64190216567016,234.55807137654898,229.23826181576712,234.27528381347656,141956100
2018-03-27,235.21202078562462,235.74221375579822,228.73455132957181,230.28985595703125,129941400
2018-03-28,230.42239773709733,232.09258645062064,228.50477665506375,229.60939025878906,146452300
2018-03-29,230.7493671899762,234.40786051928043,229.61824389857856,232.5432586669922,111601600
2018-04-02,232.0130642531419,232.52562014188928,225.0495882525477,227.52392578125,186286300
2018-04-03,228.76107132825462,230.9172793982048,226.96717978305338,230.44007873535156,119956900
2018-04-04,226.88763069202741,233.6125052626878,226.75508245525387,232.9055633544922,123715300
2018-04-05,234.664126941874,235.62737383375938,233.5772043053729,234.74368286132812,82652600
2018-04-06,232.78187422548618,234.2752870709953,227.99225756873417,229.51220703125,179521200
2018-04-09,230.97034824673102,234.03675757195995,229.70667639270897,230.6433868408203,105442900
2018-04-10,233.5330621559743,235.09721282912287,232.39311993262967,234.3107147216797,103529000
2018-04-11,232.82607373811788,234.7436951143563,232.75539032260153,233.0823516845703,91140200
2018-04-12,234.4078658821633,235.94547947818188,234.2311169080454,234.9999237060547,68890500
2018-04-13,236.30786545013984,236.42274962027108,233.30332078382685,234.3107147216797,85079200
2018-04-16,235.94546967540268,237.00590953983792,235.1236436129237,236.23707580566406,63405300
2018-04-17,238.00449228466618,239.36538401645197,237.49196335530033,238.7644805908203,64682000
2018-04-18,239.20622800376637,239.7452663641373,238.48159518691793,238.94113159179688,57303900
2018-04-19,238.28727897789233,238.49053762171857,236.58176177570866,237.61569213867188,77655900
2018-04-20,237.545037869331,237.76596067728715,234.71721514024568,235.6009063720703,99953100
2018-04-23,236.1752549020754,236.73198452248616,234.4874019301393,235.5655059814453,65558000
2018-04-24,236.59055200822522,236.8114747123485,230.89073545460306,232.3930206298828,112885500
2018-04-25,232.33116399630714,233.40926790918508,230.51076300756145,232.96742248535156,103840900
2018-04-26,233.9925537468531,236.16642611436546,233.55070823494597,235.33575439453125,67731900
2018-04-27,235.9454514886593,236.2459031345323,234.619915244341,235.55662536621094,57053600
2018-04-30,236.17523662497214,236.7319662022988,233.67437629636294,233.74508666992188,82182300
2018-05-01,233.179519958485,234.26646950425766,231.62421530140028,234.16043090820312,74203400
2018-05-02,233.96608046807933,234.77906123423588,232.1986981456871,232.5875244140625,86368900
2018-05-03,231.75680484646094,232.7288433491431,228.9201373860479,232.07492065429688,136311500
2018-05-04,231.10288831433,235.75995770217375,230.7759269200338,235.07949829101562,91222100
2018-05-07,235.84826147166132,236.8468094686672,235.15895672638163,235.87477111816406,55304900
2018-05-08,235.50360909902147,236.23706063100002,234.31062107018982,235.87477111816406,67499200
2018-05-09,236.54638487556414,238.4816701959383,236.02501045597168,238.1547088623047,59666100
2018-05-10,238.89695204573513,240.70853424837554,238.79091347155156,240.3815460205078,72063900
2018-05-11,240.5053633128291,241.38020883675154,239.99280739335714,241.1151123046875,59871500
2018-05-14,241.5480504494079,242.20197303980675,240.68202371955482,241.2299346923828,54790600
2018-05-15,240.00164927713664,240.01931338963473,238.62309339518507,239.5686492919922,87036100
2018-05-16,239.6039808016906,241.0355558477446,239.5774441834004,240.57601928710938,53942600
2018-05-17,240.31090738096805,241.4508762019442,239.59511990382418,240.37277221679688,56536400
2018-05-18,240.0280826839939,240.39039913594385,239.4183338951149,239.7718048095703,64368000
2018-05-21,241.25648440986458,242.11366574391533,240.86765821907193,241.57460021972656,58025900
2018-05-22,242.09591149590452,242.35218936571886,240.57596231979107,240.90292358398438,52966400
2018-05-23,239.63046143928264,241.59225621956955,239.47137658934227,241.5657196044922,64694200
2018-05-24,241.16812763166678,241.44206969964975,239.2858613807374,241.07090759277344,76043800
2018-05-25,240.4965362548828,241.12394940772603,239.9928258371392,240.4965362548828,56374800
2018-05-29,238.87049866232422,239.63048690313875,236.6170975258855,237.73052978515625,115908600
2018-05-30,239.0383490371083,241.34476896113247,238.96766564272932,240.90292358398438,69678400
2018-05-31,240.49647401844624,240.79692568949417,238.82631223407603,239.42721557617188,93519900
2018-06-01,240.72625291089187,242.0782989743515,240.65554253334344,241.77784729003906,71258400
2018-06-04,242.59964393045277,243.18288311790948,242.36105711344487,242.92660522460938,45385200
2018-06-05,243.0591775688871,243.48335892041933,242.2903707808217,243.10337829589844,51135000
2018-06-06,243.71316511275833,245.24193338774694,243.09457058319848,245.13589477539062,62732200
2018-06-07,245.6218391518533,245.9134452148706,244.19908311129075,245.10928344726562,72969400
2018-06-08,244.6498265681184,245.8869884117893,244.48192314275175,245.83396911621094,72139700
2018-06-11,246.0549263597859,246.87675252466192,245.94004221387883,246.1609649658203,58892500
2018-06-12,246.5761969314627,246.8412933348591,245.83390003385472,246.47900390625,72329000
2018-06-13,246.71766586247327,246.9739437759287,245.48932256014058,245.6925811767578,79070600
2018-06-14,246.55863540507366,246.84139603030306,245.7191181648838,246.3112030029297,77097600
2018-06-15,245.526474816131,246.3342477239301,244.41690111133036,245.99693298339844,120041600
2018-06-18,244.54121078049525,245.61529785717133,244.06189434330213,245.4910125732422,52917600
2018-06-19,243.21856035900637,244.7719635729781,242.80135955511443,244.550048828125,97531500
2018-06-20,245.2336026037604,245.63306008786842,244.63000083644087,244.96731567382812,53785500
2018-06-21,244.95843082613084,244.97620134762934,242.93456888760426,243.43165588378906,71061400
2018-06-22,244.69213138255017,244.80753140955053,243.65355822875506,243.87547302246094,54898500
2018-06-25,242.7215548654764,242.8813270339227,238.86911685407384,240.5556640625,137854200
2018-06-26,241.12374026871296,241.94037150239652,240.36922458663946,241.08822631835938,68547400
2018-06-27,241.67398689393684,243.10310451972364,238.93998269535922,239.0908966064453,105110700
2018-06-28,239.03768703472497,241.2213204740955,238.32754361881487,240.45794677734375,76650500
2018-06-29,241.54976851068503,242.91677098828745,240.68873817656709,240.80413818359375,97592500
2018-07-02,239.23297756061706,241.4787536700917,238.99329230174064,241.31895446777344,63554800
2018-07-03,242.2155321465129,242.31318873303871,240.0407836242166,240.4668426513672,42187100
2018-07-05,241.594168530159,242.49068572392176,240.52008160667532,242.4285430908203,56925900
2018-07-06,242.45518827943604,244.8518512865387,242.07347432791317,244.4790496826172,66493700
2018-07-09,245.48212046029752,246.7337230786658,245.4377483396801,246.6804656982422,50550400
2018-07-10,247.1331861800095,247.66578708564802,246.84024349176497,247.56813049316406,51966800
2018-07-11,246.01472243382065,246.80475206225054,245.45549284771084,245.75729370117188,77054700
2018-07-12,247.01776066717977,248.03856316228035,246.41415901137128,247.9853057861328,60124700
2018-07-13,247.80772519819746,248.48232748210316,247.35501053054168,248.18052673339844,48216000
2018-07-16,248.2249931714177,248.36699478287807,247.51484966809195,247.95867919921875,48201000
2018-07-17,247.18647348462076,249.35236423098902,247.13321609653062,248.9617919921875,52315500
2018-07-18,249.04168976145976,249.59203419035856,248.59786011373984,249.4855194091797,44593500
2018-07-19,248.819697275046,249.2013841515407,248.06518169158207,248.54452514648438,61412100
2018-07-20,248.34027727167728,248.97053448468316,248.10061916270013,248.26039123535156,82337700
2018-07-23,248.05628647529093,248.92617484629713,247.7100865070093,248.72203063964844,47047600
2018-07-24,250.13347782261658,250.81696561151827,249.1037899646664,249.9736785888672,68026900
2018-07-25,249.72514823973486,252.42363976486655,249.68077611587634,252.10409545898438,78882900
2018-07-26,251.38506493399785,252.19281086678743,251.28740834778463,251.5093231201172,57919500
2018-07-27,251.8378044570254,251.9354610633286,248.88191100071924,249.80508422851562,76768700
2018-07-30,249.88492917459178,250.0447013158275,247.97644038274046,248.50018310546875,63742500
2018-07-31,249.2636161061383,250.3376763182836,248.8819290928687,249.72518920898438,68570500
2018-08-01,249.92929457030976,250.4352667598153,248.65994855596927,249.30792236328125,53853300
2018-08-02,248.00305395952506,250.8346611669265,247.79888264321872,250.66603088378906,63426400
2018-08-03,250.79031061862074,251.79336968061608,250.61276797272257,251.7401123046875,53935400
2018-08-06,251.77562525419268,252.97394329704213,251.38505310612766,252.6632843017578,39400900
2018-08-07,253.32903510396625,253.87937939334077,253.19586457204238,253.49766540527344,43196600
2018-08-08,253.32904350842435,253.79061648823114,252.9295860778104,253.3911590576172,42114600
2018-08-09,253.45328322255867,253.84385536516058,252.9118242139356,253.0449676513672,35717000
2018-08-10,251.6069312347668,252.14839017212856,250.6393591752967,251.34950256347656,77076000
2018-08-13,251.62468830328046,252.23717515726742,250.11565722463394,250.40859985351562,65732900
2018-08-14,251.13655053785575,252.2461245279351,250.74597832621112,252.00643920898438,43842000
2018-08-15,250.65720419863487,250.79923291848888,248.686599730624,250.12460327148438,102925400
2018-08-16,251.5625792532371,253.018353155352,251.52706530486208,252.1484375,69967900
2018-08-17,251.94424145780033,253.4799012762992,251.5359259037381,253.03607177734375,65618500
2018-08-20,253.48878910627252,253.8438472911981,253.0360743442006,253.5775604248047,39807500
2018-08-21,254.092370416195,255.0332867211678,253.61302700580478,254.17225646972656,67272000
2018-08-22,253.76396412235042,254.54510839160795,253.49765016371987,254.02139282226562,44993300
2018-08-23,253.84382361860813,254.70485385858763,253.36448021459879,253.68405151367188,49204900
2018-08-24,254.26104432259785,255.35287463696199,254.20778695011208,255.21084594726562,57487400
