symbol,signal_date,entry_date,exit_date,entry_reference_price,entry_price,exit_price,position_size,position_notional,max_liquidity_notional,estimated_cost_pct,impact_cost_pct,participation_rate,impact_bps,momentum_3m,momentum_6m,momentum_12m,rank_aggregate_score,avg_dollar_volume_20d,rolling_volatility_20d,pnl,return_pct,cash_after_entry,cash_after_exit
AEHR,2025-08-29,2025-09-02,2025-10-01,24.71,24.726599921865404,33.38,7703,190468.9991981292,2197244.872,0.0006717896343747,0.0006717896343747,0.0173370753187612,6.717896343747871,1.6226415094339623,1.5927461139896373,0.6974219810040705,1.3042698681425566,10986224.36,0.1020410076049848,66657.14080187082,0.3499632017939722,0.5593951195478439,257126.6993951196
CRMD,2025-04-30,2025-05-01,2025-06-02,9.17,9.17285086764023,12.7,13286,121870.4966274681,735122.1812000001,0.00031089069141,0.00031089069141,0.0331565281919609,3.10890691410034,-0.1860053144375553,-0.2930769230769231,0.7306967984934087,0.0838715203263101,3675610.906,0.034146899431687,46861.70337253189,0.3845204924025052,1.074311194839538,168733.27431119484
CRMD,2025-03-31,2025-04-01,2025-05-01,6.01,6.013154045006872,9.65,12629,75940.12243439179,1024875.4066000002,0.0005247995019754,0.0005247995019754,0.0148193862288727,5.247995019754289,-0.2682352941176471,-0.2442284325637911,0.4951923076923075,-0.0057571396630435,5124377.033000001,0.0862190792315909,45929.72756560821,0.604815031807317,1.7209386629401706,121871.57093866296
