symbol,signal_date,entry_date,exit_date,entry_reference_price,entry_price,exit_price,position_size,position_notional,max_liquidity_notional,estimated_cost_pct,impact_cost_pct,participation_rate,impact_bps,momentum_3m,momentum_6m,momentum_12m,rank_aggregate_score,avg_dollar_volume_20d,rolling_volatility_20d,pnl,return_pct,cash_after_entry,cash_after_exit
CRMD,2024-12-31,2025-01-02,2025-02-04,8.16,8.16243405132285,10.6,12251,99997.97956275623,551685.3213,0.00029829060329032237,0.00029829060329032237,0.036251818093372294,2.9829060329032235,0.0,0.9684466019417475,1.0224438902743143,0.6636301640720206,2758426.6064999998,0.03133287778617785,29862.620437243768,0.29863223804939715,2.0204372437729035,129862.62043724376
CRMD,2025-01-31,2025-02-03,2025-03-05,10.2,10.206863590409935,10.11,12723,129861.9254607856,941612.6312999998,0.0006729010205818733,0.0006729010205818733,0.027582876682845033,6.729010205818733,-0.20585967617579026,1.2489082969432315,2.2907348242811505,1.1112611483495305,4708063.156499999,0.0810326872894676,-1232.3954607856042,-0.009490044571668934,0.694976458165911,128630.22497645816
CRMD,2025-02-28,2025-03-03,2025-04-01,10.21,10.213609782706325,6.03,12594,128630.20160340345,580017.4766,0.0003535536441060792,0.0003535536441060792,0.04435390545726995,3.535536441060792,0.04120603015075375,0.679092382495948,1.9348441926345608,0.8850475350937542,2900087.3830000004,0.033575256634420604,-52688.381603403446,-0.4096112806061975,0.023373054718831554,75941.84337305473
CRMD,2025-03-31,2025-04-01,2025-05-01,6.01,6.013154045006872,9.65,12629,75940.12243439179,1024875.4066000002,0.0005247995019754289,0.0005247995019754289,0.014819386228872706,5.247995019754289,-0.2682352941176471,-0.24422843256379112,0.4951923076923075,-0.005757139663043587,5124377.033000001,0.08621907923159094,45929.72756560821,0.604815031807317,1.7209386629401706,121871.57093866295
CRMD,2025-04-30,2025-05-01,2025-06-02,9.17,9.17285086764023,12.7,13286,121870.4966274681,735122.1812000001,0.000310890691410034,0.000310890691410034,0.03315652819196094,3.10890691410034,-0.1860053144375553,-0.2930769230769231,0.7306967984934087,0.08387152032631011,3675610.9060000004,0.034146899431687035,46861.70337253189,0.38452049240250524,1.074311194839538,168733.27431119484
CRMD,2025-05-30,2025-06-02,2025-07-02,12.14,12.144516957954792,11.59,13893,168723.77409686593,2062451.4301,0.0003720723191754765,0.0003720723191754765,0.01636147854290903,3.720723191754765,0.1776061776061777,0.22613065326633164,1.2761194029850742,0.5599520779525279,10312257.1505,0.05817466043268612,-7703.904096865931,-0.04565986114347493,9.500214328902075,161029.3702143289
CRMD,2025-06-30,2025-07-01,2025-07-31,12.35,12.355503224339454,11.6,13033,161029.2735228161,2041604.1918,0.0004456052096724986,0.0004456052096724986,0.0157747788890307,4.456052096724986,0.8306092124814264,0.48612786489746695,1.9686746987951804,1.0951372587246913,10208020.958999999,0.0709575292051351,-9846.473522816112,-0.061147102681432475,0.0966915127937682,151182.89669151278
CRMD,2025-07-31,2025-08-01,2025-09-02,11.65,11.651892870222293,14.68,12974,151171.65809826402,1506836.4735000003,0.0001624781306688063,0.0001624781306688063,0.020064772887681763,1.6247813066880632,0.26224156692056577,0.027457927369353374,1.4786324786324787,0.5894439909741326,7534182.367500002,0.022939906448950064,39286.66190173597,0.2598811337783899,11.238593248766847,190469.55859324874
AEHR,2025-08-29,2025-09-02,2025-10-01,24.71,24.726599921865404,33.38,7703,190468.9991981292,2197244.872,0.0006717896343747871,0.0006717896343747871,0.017337075318761212,6.717896343747871,1.6226415094339623,1.5927461139896373,0.6974219810040705,1.3042698681425566,10986224.36,0.10204100760498486,66657.14080187082,0.3499632017939722,0.5593951195478439,257126.69939511956
AEHR,2025-09-30,2025-10-01,2025-10-30,29.63,29.64004631206251,25.5,8674,257097.7617108302,1998030.9726999998,0.0003390587938748501,0.0003390587938748501,0.02573511274086069,3.390587938748501,1.0794198895027622,3.130315500685871,1.300229182582124,1.8366548575902524,9990154.863499999,0.04226856765026472,-35910.7617108302,-0.1396774576015979,28.937684289354365,221215.93768428935
AEHR,2025-10-31,2025-11-03,2025-12-03,25.99,26.00328609222297,24.61,8507,221209.95478654082,2436890.2241000007,0.0005112001624844728,0.0005112001624844728,0.018155102154282617,5.112001624844728,0.3756613756613758,1.9850746268656714,0.6883116883116882,1.0163492302795785,12184451.120500002,0.07587797943000162,-11852.684786540824,-0.05358115460029009,5.982897748530377,209363.25289774852
