run_id,trial_id,source_run_id,source_trial_id,source_file,symbol,mapped_date,entry_date,exit_date,regime_label,net_return,gross_return,provider_query_performed,backtest_performed,promotion_allowed
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,IOVA,2025-04-30,2025-05-01,2025-05-08,TREND_UP,-0.5138888889,-0.4638888889,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,ARRY,2025-05-07,2025-05-08,2025-05-15,TREND_UP,0.60234375,0.65234375,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,AEHR,2025-05-14,2025-05-15,2025-05-22,VOLATILITY_SHOCK,-0.1005376344,-0.0505376344,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,AEHR,2025-05-21,2025-05-22,2025-05-30,TREND_UP,0.0736749117,0.1236749117,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,AEHR,2025-05-29,2025-05-30,2025-06-06,TREND_UP,0.0977732794,0.1477732794,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,AEHR,2025-06-05,2025-06-06,2025-06-13,TREND_UP,-0.0366190901,0.0133809099,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,AEHR,2025-06-12,2025-06-13,2025-06-23,TREND_UP,-0.0665073849,-0.0165073849,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-06-20,2025-06-23,2025-06-30,TREND_UP,-0.1319672131,-0.0819672131,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,AEHR,2025-06-27,2025-06-30,2025-07-08,VOLATILITY_SHOCK,-0.1284313725,-0.0784313725,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-07-07,2025-07-08,2025-07-15,TREND_DOWN,-0.0739316239,-0.0239316239,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-07-14,2025-07-15,2025-07-22,TREND_DOWN,-0.0798245614,-0.0298245614,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-07-21,2025-07-22,2025-07-29,TREND_DOWN,0.0081818182,0.0581818182,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-07-28,2025-07-29,2025-08-05,TREND_DOWN,-0.0558043118,-0.0058043118,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-08-04,2025-08-05,2025-08-12,TREND_UP,-0.1157051282,-0.0657051282,False,False,False
