split,family,regime_label,trade_count,weighted_net_sum,median_net_return,win_rate,ex_top3_weighted_net_sum,passes_cell_gates
is,dollar_volume_shock_20d,DRAWDOWN_STRESS,10,-0.13598696277528743,-0.035783516167467846,0.2,-0.1524641674668037,False
is,dollar_volume_shock_20d,INSUFFICIENT_HISTORY,10,-0.10430736452016658,-0.050183560662357865,0.1,-0.09651052721113412,False
is,dollar_volume_shock_20d,RANGE_HIGH_VOL,4,-0.12586960111675427,-0.13158097953607167,0.0,-0.0644,False
is,dollar_volume_shock_20d,RISK_OFF,4,-0.06552423568563301,0.0004751250716318739,0.5,-0.07571428571428573,False
is,dollar_volume_shock_20d,TREND_UP_LOW_VOL,5,-0.0840235090744895,-0.043485342019543974,0.2,-0.08409969040934767,False
is,mean_reversion_5d,DRAWDOWN_STRESS,15,0.057142102243605206,0.0248031496062993,0.6,-0.10026108392747458,False
is,mean_reversion_5d,INSUFFICIENT_HISTORY,10,-0.12575975847922286,-0.07855009253115637,0.1,-0.15368118526640703,False
is,mean_reversion_5d,RANGE_HIGH_VOL,5,-0.24426857498954455,-0.29350650814733686,0.0,-0.12596794425087107,False
is,mean_reversion_5d,RISK_OFF,5,-0.18089670758441928,-0.20909812172807357,0.2,-0.11761572794325215,False
is,mean_reversion_5d,TREND_UP_LOW_VOL,5,-0.11052752809597863,-0.09266666666666674,0.2,-0.09757348736462094,False
is,momentum_60d,DRAWDOWN_STRESS,5,-0.1004025700714518,-0.04529411764705889,0.0,-0.07515376368370927,False
is,momentum_60d,INSUFFICIENT_HISTORY,9,0.05409337899804884,-0.08074141048824597,0.4444444444444444,-0.26612927816988396,False
is,momentum_60d,RANGE_HIGH_VOL,4,0.011482345075701839,-0.1746208291203235,0.25,-0.11736497545008184,False
is,momentum_60d,RISK_OFF,5,-0.18326982279862966,-0.20543071161048693,0.2,-0.13813664596273292,False
is,momentum_60d,TREND_UP_LOW_VOL,5,-0.13214405502720145,-0.20098326019827722,0.2,-0.1283068596228647,False
is,volatility_compression_20d,DRAWDOWN_STRESS,3,-0.027929600009955077,-0.04643613120396002,0.0,0.0,False
is,volatility_compression_20d,INSUFFICIENT_HISTORY,8,-0.07217619982583162,-0.04623457653227177,0.0,-0.046332375289702785,False
is,volatility_compression_20d,RANGE_HIGH_VOL,1,-0.00932312538693635,-0.046615626934681756,0.0,0.0,False
is,volatility_compression_20d,RISK_OFF,1,-0.009124072267384245,-0.045620361336921225,0.0,0.0,False
is,volatility_compression_20d,TREND_UP_LOW_VOL,4,-0.03857699877300311,-0.0490590166418758,0.0,-0.00982347749338043,False
oos,dollar_volume_shock_20d,DRAWDOWN_STRESS,4,-0.06620383658425108,-0.047649539030702306,0.25,-0.09856624319419238,False
oos,dollar_volume_shock_20d,RECOVERY_BOUNCE,7,-0.036391271722968875,-0.0487781036168133,0.14285714285714285,-0.06908789010911748,False
oos,dollar_volume_shock_20d,RISK_OFF,3,-0.03143997849633753,-0.046857923497267875,0.0,0.0,False
oos,dollar_volume_shock_20d,TREND_UP_HIGH_VOL,6,-0.2612248324700156,-0.18617626888816097,0.0,-0.22866108556385345,False
oos,dollar_volume_shock_20d,TREND_UP_LOW_VOL,16,-0.21580158969481175,-0.049960762859309796,0.125,-0.2858805920926222,False
oos,mean_reversion_5d,DRAWDOWN_STRESS,5,0.019019255501547223,-0.05492610837438412,0.4,-0.04156329546160054,False
oos,mean_reversion_5d,RECOVERY_BOUNCE,8,-0.012319383457483082,0.0061751832804463475,0.625,-0.08057300846608761,False
oos,mean_reversion_5d,RISK_OFF,5,0.23665194831172287,0.3124075381795098,0.8,0.03329133459664982,False
oos,mean_reversion_5d,TREND_UP_HIGH_VOL,8,-0.23446320004806442,-0.07387753476591742,0.25,-0.2534918896831188,False
oos,mean_reversion_5d,TREND_UP_LOW_VOL,29,-0.04512351109608747,-0.020175438596491138,0.3448275862068966,-0.2327535654332954,False
oos,momentum_60d,DRAWDOWN_STRESS,2,0.11562899906454628,0.28907249766136567,0.5,0.0,False
oos,momentum_60d,RECOVERY_BOUNCE,8,0.05314854729110688,-0.02109870642295704,0.375,-0.09992166683238879,False
oos,momentum_60d,RISK_OFF,2,0.0069393276179451294,0.017348319044862823,0.5,0.0,False
oos,momentum_60d,TREND_UP_HIGH_VOL,7,-0.28430421066742606,-0.3752558699578567,0.2857142857142857,-0.45072509421046947,False
oos,momentum_60d,TREND_UP_LOW_VOL,15,0.054821742351505755,0.01568228105906315,0.6666666666666666,-0.08435469053277714,False
oos,volatility_compression_20d,RECOVERY_BOUNCE,4,-0.03741530919701447,-0.04677540201461301,0.0,-0.009491184075189577,False
oos,volatility_compression_20d,RISK_OFF,2,-0.019419841799308543,-0.04854960449827135,0.0,0.0,False
oos,volatility_compression_20d,TREND_UP_HIGH_VOL,2,-0.0187071097183303,-0.04676777429582575,0.0,0.0,False
oos,volatility_compression_20d,TREND_UP_LOW_VOL,6,-0.05537949564621654,-0.04633994588122821,0.0,-0.02787672939977235,False
