symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,family,regime_label,selection_policy,split
BLUE-202505,mean_reversion_5d,2024-11-07,2024-11-08,2024-11-22,7.6,7.0020003,-0.17650865301724128,-0.07868417105263159,0.05,-0.12868417105263158,0.2,-0.02573683421052632,False,False,mean_reversion_5d,INSUFFICIENT_HISTORY,predeclared_family_map,is
AZN-202601,mean_reversion_5d,2024-11-07,2024-11-08,2024-11-22,63.42664,64.25888,-0.09079416975041632,0.013121300450410267,0.05,-0.036878699549589736,0.2,-0.0073757399099179475,False,False,mean_reversion_5d,INSUFFICIENT_HISTORY,predeclared_family_map,is
BRDG-202508,mean_reversion_5d,2024-11-07,2024-11-08,2024-11-22,9.629171,9.58049,-0.08088237376501717,-0.00505557539688517,0.05,-0.05505557539688517,0.2,-0.011011115079377035,False,False,mean_reversion_5d,INSUFFICIENT_HISTORY,predeclared_family_map,is
ACB,mean_reversion_5d,2024-11-07,2024-11-08,2024-11-22,5.08,4.34,-0.060885608856088624,-0.14566929133858275,0.05,-0.19566929133858274,0.2,-0.03913385826771655,False,False,mean_reversion_5d,INSUFFICIENT_HISTORY,predeclared_family_map,is
AZULQ-202601,mean_reversion_5d,2024-11-07,2024-11-08,2024-11-22,2.69,2.55,-0.05841924398625431,-0.052044609665427566,0.05,-0.10204460966542757,0.2,-0.020408921933085515,False,False,mean_reversion_5d,INSUFFICIENT_HISTORY,predeclared_family_map,is
BSJO-202412,volatility_compression_20d,2024-11-07,2024-11-08,2024-12-09,22.576412,22.66,0.00024290942988294226,0.003702448378422485,0.05,-0.04629755162157752,0.2,-0.009259510324315504,False,False,volatility_compression_20d,INSUFFICIENT_HISTORY,predeclared_family_map,is
BSCO-202412,volatility_compression_20d,2024-11-07,2024-11-08,2024-12-09,21.023815,21.099499,0.0003505626089702376,0.0035999175221053115,0.05,-0.04640008247789469,0.2,-0.00928001649557894,False,False,volatility_compression_20d,INSUFFICIENT_HISTORY,predeclared_family_map,is
BSCP-202512,volatility_compression_20d,2024-11-07,2024-11-08,2024-12-09,19.719189,19.79614,0.00039831884566073316,0.0039023410141258985,0.05,-0.046097658985874104,0.2,-0.00921953179717482,False,False,volatility_compression_20d,INSUFFICIENT_HISTORY,predeclared_family_map,is
AXNX-202411,volatility_compression_20d,2024-11-07,2024-11-08,2024-11-14,70.48,70.98,0.0008305316621151218,0.007094211123723104,0.05,-0.0429057888762769,0.2,-0.00858115777525538,True,False,volatility_compression_20d,INSUFFICIENT_HISTORY,predeclared_family_map,is
ALTR-202503,dollar_volume_shock_20d,2024-11-07,2024-11-08,2024-11-22,104.0,105.2,4.127735408463324,0.011538461538461497,0.05,-0.038461538461538505,0.2,-0.007692307692307701,False,False,dollar_volume_shock_20d,INSUFFICIENT_HISTORY,predeclared_family_map,is
ADDYY,dollar_volume_shock_20d,2024-11-07,2024-11-08,2024-11-22,114.61719,108.6364,3.368867806926197,-0.05218056733025822,0.05,-0.10218056733025822,0.2,-0.020436113466051647,False,False,dollar_volume_shock_20d,INSUFFICIENT_HISTORY,predeclared_family_map,is
ATSG-202504,dollar_volume_shock_20d,2024-11-07,2024-11-08,2024-11-22,22.04,21.96,3.2750552524615424,-0.003629764065335661,0.05,-0.053629764065335664,0.2,-0.010725952813067133,False,False,dollar_volume_shock_20d,INSUFFICIENT_HISTORY,predeclared_family_map,is
CKPT-202505,dollar_volume_shock_20d,2024-11-07,2024-11-08,2024-11-22,3.5,3.75,2.9925541582722635,0.0714285714285714,0.05,0.021428571428571394,0.2,0.004285714285714279,False,False,dollar_volume_shock_20d,INSUFFICIENT_HISTORY,predeclared_family_map,is
CDMO-202502,dollar_volume_shock_20d,2024-11-07,2024-11-08,2024-11-22,12.26,12.3,1.666888934980134,0.0032626427406199365,0.05,-0.046737357259380066,0.2,-0.009347471451876014,False,False,dollar_volume_shock_20d,INSUFFICIENT_HISTORY,predeclared_family_map,is
ACRS,momentum_60d,2024-12-06,2024-12-09,2025-01-08,3.97,2.46,2.3675213675213675,-0.38035264483627207,0.05,-0.43035264483627206,0.2,-0.08607052896725442,False,False,momentum_60d,TREND_UP_LOW_VOL,predeclared_family_map,is
BTFX-202512,momentum_60d,2024-12-06,2024-12-09,2025-01-08,61.53,52.24,1.9161434977578473,-0.15098326019827724,0.05,-0.20098326019827722,0.2,-0.040196652039655445,False,False,momentum_60d,TREND_UP_LOW_VOL,predeclared_family_map,is
AAOI,momentum_60d,2024-12-06,2024-12-09,2025-01-08,38.59,32.37,1.6776859504132235,-0.16118165327805145,0.05,-0.21118165327805144,0.2,-0.04223633065561029,False,False,momentum_60d,TREND_UP_LOW_VOL,predeclared_family_map,is
ACHR,momentum_60d,2024-12-06,2024-12-09,2025-01-08,8.25,10.48,1.5090909090909088,0.27030303030303027,0.05,0.22030303030303028,0.2,0.04406060606060606,False,False,momentum_60d,TREND_UP_LOW_VOL,predeclared_family_map,is
BCOV-202502,momentum_60d,2024-12-06,2024-12-09,2025-01-08,4.35,4.4,1.1485148514851486,0.011494252873563315,0.05,-0.03850574712643669,0.2,-0.0077011494252873375,False,False,momentum_60d,TREND_UP_LOW_VOL,predeclared_family_map,is
APLT-202602,mean_reversion_5d,2024-12-06,2024-12-09,2024-12-23,1.25,0.8667,-0.3694581280788176,-0.30664,0.05,-0.35664,0.2,-0.071328,False,False,mean_reversion_5d,TREND_UP_LOW_VOL,predeclared_family_map,is
BASE-202509,mean_reversion_5d,2024-12-06,2024-12-09,2024-12-23,16.62,15.27,-0.2013651877133107,-0.08122743682310474,0.05,-0.13122743682310473,0.2,-0.026245487364620946,False,False,mean_reversion_5d,TREND_UP_LOW_VOL,predeclared_family_map,is
ACDC,mean_reversion_5d,2024-12-06,2024-12-09,2024-12-23,7.5,7.18,-0.18302094818081593,-0.04266666666666674,0.05,-0.09266666666666674,0.2,-0.01853333333333335,False,False,mean_reversion_5d,TREND_UP_LOW_VOL,predeclared_family_map,is
ACHR,mean_reversion_5d,2024-12-06,2024-12-09,2024-12-23,8.25,9.38,-0.13479623824451414,0.13696969696969696,0.05,0.08696969696969696,0.2,0.017393939393939392,False,False,mean_reversion_5d,TREND_UP_LOW_VOL,predeclared_family_map,is
ACMR,mean_reversion_5d,2024-12-06,2024-12-09,2024-12-23,15.43,15.29,-0.1337987201861548,-0.009073233959818627,0.05,-0.05907323395981863,0.2,-0.011814646791963727,False,False,mean_reversion_5d,TREND_UP_LOW_VOL,predeclared_family_map,is
BSCO-202412,volatility_compression_20d,2024-12-06,2024-12-09,2024-12-13,21.099499,21.12,0.0002696185516617458,0.0009716344449695047,0.05,-0.0490283655550305,0.2,-0.009805673111006101,True,False,volatility_compression_20d,TREND_UP_LOW_VOL,predeclared_family_map,is
AY-202412,volatility_compression_20d,2024-12-06,2024-12-09,2024-12-11,21.97,21.99,0.00041837109944108504,0.0009103322712789019,0.05,-0.0490896677287211,0.2,-0.009817933545744222,True,False,volatility_compression_20d,TREND_UP_LOW_VOL,predeclared_family_map,is
BSCP-202512,volatility_compression_20d,2024-12-06,2024-12-09,2025-01-08,19.786564,19.872644,0.0004769933192035481,0.004350426885638248,0.05,-0.045649573114361755,0.2,-0.009129914622872352,False,False,volatility_compression_20d,TREND_UP_LOW_VOL,predeclared_family_map,is
BSJO-202412,volatility_compression_20d,2024-12-06,2024-12-09,2024-12-13,22.66,22.68,0.0004835661597570933,0.0008826125330978485,0.05,-0.049117387466902154,0.2,-0.00982347749338043,True,False,volatility_compression_20d,TREND_UP_LOW_VOL,predeclared_family_map,is
CTV-202502,dollar_volume_shock_20d,2024-12-06,2024-12-09,2024-12-23,3.07,3.09,38.3342162889187,0.006514657980456029,0.05,-0.043485342019543974,0.2,-0.008697068403908796,False,False,dollar_volume_shock_20d,TREND_UP_LOW_VOL,predeclared_family_map,is
ACRS,dollar_volume_shock_20d,2024-12-06,2024-12-09,2024-12-23,3.97,2.89,11.813744761457755,-0.2720403022670025,0.05,-0.3220403022670025,0.2,-0.0644080604534005,False,False,dollar_volume_shock_20d,TREND_UP_LOW_VOL,predeclared_family_map,is
BCOV-202502,dollar_volume_shock_20d,2024-12-06,2024-12-09,2024-12-23,4.35,4.38,7.609738641505849,0.006896551724137945,0.05,-0.04310344827586206,0.2,-0.008620689655172412,False,False,dollar_volume_shock_20d,TREND_UP_LOW_VOL,predeclared_family_map,is
ACHR,dollar_volume_shock_20d,2024-12-06,2024-12-09,2024-12-23,8.25,9.38,6.1369136776579465,0.13696969696969696,0.05,0.08696969696969696,0.2,0.017393939393939392,False,False,dollar_volume_shock_20d,TREND_UP_LOW_VOL,predeclared_family_map,is
AAOI,dollar_volume_shock_20d,2024-12-06,2024-12-09,2024-12-23,38.59,36.72,2.535365958431299,-0.04845814977973584,0.05,-0.09845814977973584,0.2,-0.01969162995594717,False,False,dollar_volume_shock_20d,TREND_UP_LOW_VOL,predeclared_family_map,is
CMRX-202504,momentum_60d,2025-01-07,2025-01-08,2025-02-07,3.6,4.21,3.188122210779265,0.1694444444444445,0.05,0.1194444444444445,0.2,0.023888888888888904,False,False,momentum_60d,RISK_OFF,predeclared_family_map,is
ACHR,momentum_60d,2025-01-07,2025-01-08,2025-02-07,10.68,9.02,2.789115646258504,-0.15543071161048694,0.05,-0.20543071161048693,0.2,-0.04108614232209739,False,False,momentum_60d,RISK_OFF,predeclared_family_map,is
CDTX-202601,momentum_60d,2025-01-07,2025-01-08,2025-02-07,27.6,21.68,1.5665399239543727,-0.21449275362318843,0.05,-0.2644927536231884,0.2,-0.052898550724637686,False,False,momentum_60d,RISK_OFF,predeclared_family_map,is
BTFX-202512,momentum_60d,2025-01-07,2025-01-08,2025-02-07,54.31,49.4395,1.257578487086684,-0.08967961701344129,0.05,-0.13967961701344128,0.2,-0.02793592340268826,False,False,momentum_60d,RISK_OFF,predeclared_family_map,is
ABAT,momentum_60d,2025-01-07,2025-01-08,2025-02-07,2.1,1.31,1.21,-0.3761904761904762,0.05,-0.4261904761904762,0.2,-0.08523809523809524,False,False,momentum_60d,RISK_OFF,predeclared_family_map,is
ABAT,mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,2.1,1.41,-0.18450184501845024,-0.3285714285714286,0.05,-0.3785714285714286,0.2,-0.07571428571428573,False,False,mean_reversion_5d,RISK_OFF,predeclared_family_map,is
BRDG-202508,mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,7.4461837,7.8494773,-0.09677414261314521,0.05416111343049468,0.05,0.004161113430494676,0.2,0.0008322226860989351,False,False,mean_reversion_5d,RISK_OFF,predeclared_family_map,is
AAOI,mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,32.7,30.69,-0.0899558498896249,-0.06146788990825691,0.05,-0.11146788990825691,0.2,-0.022293577981651384,False,False,mean_reversion_5d,RISK_OFF,predeclared_family_map,is
AAPX,mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,29.832087,25.073654,-0.08323165712757863,-0.15950721114483202,0.05,-0.209507211144832,0.2,-0.041901442228966405,False,False,mean_reversion_5d,RISK_OFF,predeclared_family_map,is
AAPB,mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,30.180614,25.378935,-0.07943931470578469,-0.15909812172807358,0.05,-0.20909812172807357,0.2,-0.04181962434561472,False,False,mean_reversion_5d,RISK_OFF,predeclared_family_map,is
BSCP-202512,volatility_compression_20d,2025-01-07,2025-01-08,2025-02-07,19.872644,19.959679,0.00035612412414623673,0.004379638663078778,0.05,-0.045620361336921225,0.2,-0.009124072267384245,False,False,volatility_compression_20d,RISK_OFF,predeclared_family_map,is
CMRX-202504,dollar_volume_shock_20d,2025-01-07,2025-01-08,2025-01-24,3.6,3.96,141.9139471388482,0.09999999999999987,0.05,0.049999999999999864,0.2,0.009999999999999974,False,False,dollar_volume_shock_20d,RISK_OFF,predeclared_family_map,is
ABAT,dollar_volume_shock_20d,2025-01-07,2025-01-08,2025-01-24,2.1,1.41,52.22969658359214,-0.3285714285714286,0.05,-0.3785714285714286,0.2,-0.07571428571428573,False,False,dollar_volume_shock_20d,RISK_OFF,predeclared_family_map,is
EBTC-202506,dollar_volume_shock_20d,2025-01-07,2025-01-08,2025-01-24,37.55939,41.234325,3.705278926446552,0.09784330895682802,0.05,0.04784330895682802,0.2,0.009568661791365604,False,False,dollar_volume_shock_20d,RISK_OFF,predeclared_family_map,is
ACI,dollar_volume_shock_20d,2025-01-07,2025-01-08,2025-01-24,19.054754,19.113956,2.4102471964498453,0.00310694118643573,0.05,-0.04689305881356427,0.2,-0.009378611762712855,False,False,dollar_volume_shock_20d,RISK_OFF,predeclared_family_map,is
CMRX-202504,momentum_60d,2025-02-06,2025-02-07,2025-03-10,4.14,8.46,3.405945888140306,1.0434782608695654,0.05,0.9934782608695654,0.2,0.19869565217391308,False,False,momentum_60d,RANGE_HIGH_VOL,predeclared_family_map,is
ACHR,momentum_60d,2025-02-06,2025-02-07,2025-03-10,9.2,6.8,1.6142857142857143,-0.26086956521739124,0.05,-0.31086956521739123,0.2,-0.062173913043478246,False,False,momentum_60d,RANGE_HIGH_VOL,predeclared_family_map,is
ACCD-202504,momentum_60d,2025-02-06,2025-02-07,2025-03-10,6.88,6.96,0.9325842696629212,0.011627906976744207,0.05,-0.038372093023255796,0.2,-0.0076744186046511596,False,False,momentum_60d,RANGE_HIGH_VOL,predeclared_family_map,is
AAOI,momentum_60d,2025-02-06,2025-02-07,2025-03-10,30.55,14.15,0.6972067039106147,-0.5368248772504092,0.05,-0.5868248772504092,0.2,-0.11736497545008184,False,False,momentum_60d,RANGE_HIGH_VOL,predeclared_family_map,is
ACH,mean_reversion_5d,2025-02-06,2025-02-07,2025-02-24,8.61,6.39,-0.40753424657534243,-0.2578397212543554,0.05,-0.3078397212543554,0.2,-0.06156794425087108,False,False,mean_reversion_5d,RANGE_HIGH_VOL,predeclared_family_map,is
ACON,mean_reversion_5d,2025-02-06,2025-02-07,2025-02-24,166.31999,125.81999,-0.25357139566011455,-0.24350650814733688,0.05,-0.29350650814733686,0.2,-0.05870130162946738,False,False,mean_reversion_5d,RANGE_HIGH_VOL,predeclared_family_map,is
AKYA-202507,mean_reversion_5d,2025-02-06,2025-02-07,2025-02-24,2.5,1.82,-0.1605351170568563,-0.272,0.05,-0.322,0.2,-0.0644,False,False,mean_reversion_5d,RANGE_HIGH_VOL,predeclared_family_map,is
AZULQ-202601,mean_reversion_5d,2025-02-06,2025-02-07,2025-02-24,2.0,1.85,-0.16049382716049387,-0.07499999999999996,0.05,-0.12499999999999996,0.2,-0.024999999999999994,False,False,mean_reversion_5d,RANGE_HIGH_VOL,predeclared_family_map,is
BTFX-202512,mean_reversion_5d,2025-02-06,2025-02-07,2025-02-24,53.66,47.06,-0.15655574043261233,-0.12299664554603051,0.05,-0.1729966455460305,0.2,-0.0345993291092061,False,False,mean_reversion_5d,RANGE_HIGH_VOL,predeclared_family_map,is
