symbol,event_date,control_dates,dataset,schema,start,end,status,rows,detail,derived_bars_sha256,raw_payload_retained,bars_path
CRMD,2022-08-11,2022-08-04|2022-08-05|2022-08-08|2022-08-09|2022-08-10,XNAS.ITCH,ohlcv-1m,2022-08-04T13:30:00+00:00,2022-08-11T20:00:00+00:00,pass,1643,derived_bars_written_raw_not_retained,05303b04eebbb99765a0bacb96764af78879ae98c18c49c57412542969e7e240,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CRMD_2022-08-11\bars.csv
AEHR,2022-10-07,2022-09-30|2022-10-03|2022-10-04|2022-10-05|2022-10-06,XNAS.ITCH,ohlcv-1m,2022-09-30T13:30:00+00:00,2022-10-07T20:00:00+00:00,pass,2165,derived_bars_written_raw_not_retained,e9e0ba71997959cf2a86b6848b120d6c492587998d8f1725b108f82a82043fca,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\AEHR_2022-10-07\bars.csv
IOVA,2022-11-04,2022-10-28|2022-10-31|2022-11-01|2022-11-02|2022-11-03,XNAS.ITCH,ohlcv-1m,2022-10-28T13:30:00+00:00,2022-11-04T20:00:00+00:00,pass,2300,derived_bars_written_raw_not_retained,735ecf301928d557e513f496d2482cb61fbaded009589f94484eb96ebb636d7b,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\IOVA_2022-11-04\bars.csv
ARRY,2022-11-09,2022-11-02|2022-11-03|2022-11-04|2022-11-07|2022-11-08,XNAS.ITCH,ohlcv-1m,2022-11-02T13:30:00+00:00,2022-11-09T21:00:00+00:00,pass,2546,derived_bars_written_raw_not_retained,8c63296ac90af24553d687aecd5a3347b3e654b63134025a9211cdbc90014aa4,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\ARRY_2022-11-09\bars.csv
CABA,2022-11-10,2022-11-03|2022-11-04|2022-11-07|2022-11-08|2022-11-09,XNAS.ITCH,ohlcv-1m,2022-11-03T13:30:00+00:00,2022-11-10T21:00:00+00:00,pass,805,derived_bars_written_raw_not_retained,e811f8dd2529edaa18097d9700da5d1af351dda3cd44e4e4e4d7c2d15f305520,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CABA_2022-11-10\bars.csv
CRMD,2022-11-10,2022-11-03|2022-11-04|2022-11-07|2022-11-08|2022-11-09,XNAS.ITCH,ohlcv-1m,2022-11-03T13:30:00+00:00,2022-11-10T21:00:00+00:00,pass,473,derived_bars_written_raw_not_retained,9378153fc890b97c792e261eea958df7f476f20868755fbb5db71846cb98fde8,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CRMD_2022-11-10\bars.csv
AEHR,2023-01-06,2022-12-29|2022-12-30|2023-01-03|2023-01-04|2023-01-05,XNAS.ITCH,ohlcv-1m,2022-12-29T14:30:00+00:00,2023-01-06T21:00:00+00:00,pass,2199,derived_bars_written_raw_not_retained,6651905ceeb778941f6ff77cae40557d24c51ee7b32530afc585e88dc5a4c6b1,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\AEHR_2023-01-06\bars.csv
IOVA,2023-03-01,2023-02-22|2023-02-23|2023-02-24|2023-02-27|2023-02-28,XNAS.ITCH,ohlcv-1m,2023-02-22T14:30:00+00:00,2023-03-01T21:00:00+00:00,pass,2144,derived_bars_written_raw_not_retained,a40b59a9e899df25d98bab57f528abea6614b0e46f758a22d31176230fa21764,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\IOVA_2023-03-01\bars.csv
ARRY,2023-03-02,2023-02-23|2023-02-24|2023-02-27|2023-02-28|2023-03-01,XNAS.ITCH,ohlcv-1m,2023-02-23T14:30:00+00:00,2023-03-02T21:00:00+00:00,pass,2418,derived_bars_written_raw_not_retained,03e9446446c8a4e1e4d379fb881059a2f27f5b10b5dc5ceae0479ae44ea40b50,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\ARRY_2023-03-02\bars.csv
CABA,2023-03-16,2023-03-09|2023-03-10|2023-03-13|2023-03-14|2023-03-15,XNAS.ITCH,ohlcv-1m,2023-03-09T14:30:00+00:00,2023-03-16T20:00:00+00:00,pass,1244,derived_bars_written_raw_not_retained,c0c87540bd6cd625e84d14f65b17d4b1ab7c1548718f5194b4ea886f66098c92,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CABA_2023-03-16\bars.csv
ARRY,2023-03-22,2023-03-15|2023-03-16|2023-03-17|2023-03-20|2023-03-21,XNAS.ITCH,ohlcv-1m,2023-03-15T13:30:00+00:00,2023-03-22T20:00:00+00:00,pass,2440,derived_bars_written_raw_not_retained,f7444b28433296cc2e47dea5a26a800a016a78d8eb5113fbcab674c2920bb357,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\ARRY_2023-03-22\bars.csv
CRMD,2023-03-30,2023-03-23|2023-03-24|2023-03-27|2023-03-28|2023-03-29,XNAS.ITCH,ohlcv-1m,2023-03-23T13:30:00+00:00,2023-03-30T20:00:00+00:00,pass,572,derived_bars_written_raw_not_retained,862e8d2b3cbaad7ea5a314308fbb7e708f272619fb22cf0c4aa58b50ad8f4fe3,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CRMD_2023-03-30\bars.csv
AEHR,2023-03-31,2023-03-24|2023-03-27|2023-03-28|2023-03-29|2023-03-30,XNAS.ITCH,ohlcv-1m,2023-03-24T13:30:00+00:00,2023-03-31T20:00:00+00:00,pass,2382,derived_bars_written_raw_not_retained,c147dcb5caa896b9cbe080b47c4e4e9dca79bf1105896517669827d6166debeb,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\AEHR_2023-03-31\bars.csv
ARRY,2023-05-10,2023-05-03|2023-05-04|2023-05-05|2023-05-08|2023-05-09,XNAS.ITCH,ohlcv-1m,2023-05-03T13:30:00+00:00,2023-05-10T20:00:00+00:00,pass,2363,derived_bars_written_raw_not_retained,42c4a512e620c7ebff68c54697eac36b9356deecd48d440265457e17a76bc794,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\ARRY_2023-05-10\bars.csv
IOVA,2023-05-10,2023-05-03|2023-05-04|2023-05-05|2023-05-08|2023-05-09,XNAS.ITCH,ohlcv-1m,2023-05-03T13:30:00+00:00,2023-05-10T20:00:00+00:00,pass,2310,derived_bars_written_raw_not_retained,b40881d8983e27af2965af258ff6babfd62dc9856927ab334f9dd04d2e380327,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\IOVA_2023-05-10\bars.csv
CABA,2023-05-11,2023-05-04|2023-05-05|2023-05-08|2023-05-09|2023-05-10,XNAS.ITCH,ohlcv-1m,2023-05-04T13:30:00+00:00,2023-05-11T20:00:00+00:00,pass,1046,derived_bars_written_raw_not_retained,5ea2a8650f07d19306ad3e7623af1fb83aac3ff1b55451d48c89b89e2a1b839d,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CABA_2023-05-11\bars.csv
CRMD,2023-05-16,2023-05-09|2023-05-10|2023-05-11|2023-05-12|2023-05-15,XNAS.ITCH,ohlcv-1m,2023-05-09T13:30:00+00:00,2023-05-16T20:00:00+00:00,pass,914,derived_bars_written_raw_not_retained,a1bbefd101ba2ac3d0cb895c6ed20949bcb3dc82e58c833394dd3936ccf09fd3,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CRMD_2023-05-16\bars.csv
IOVA,2023-07-11,2023-07-03|2023-07-05|2023-07-06|2023-07-07|2023-07-10,XNAS.ITCH,ohlcv-1m,2023-07-03T13:30:00+00:00,2023-07-11T20:00:00+00:00,pass,2367,derived_bars_written_raw_not_retained,3252c6d9d105dd61ee67d91db53640e21482e694ea027b0099d66c5d48d452e5,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\IOVA_2023-07-11\bars.csv
