period,drawdown
2019-04-08,-0.9612609
2019-04-09,-0.95090595
2019-04-10,-0.94100318
2019-04-11,-0.90876743
2019-04-15,-0.73087464
2019-04-16,-0.72108483
2019-04-17,-0.69280203
2019-04-18,-0.65287743
2019-04-22,-0.65337245
2019-04-29,-0.61616225
2019-05-01,-0.61084573
2019-05-02,-0.46917126
2019-05-03,-0.25101949
2019-05-06,-0.05434617
2019-05-07,0.0
2019-05-08,0.0
2019-05-09,0.0
2019-05-14,0.0
2019-05-15,0.0
2019-05-24,-0.00141409
2019-05-30,-0.04919271
2019-05-31,-0.09223662
2019-06-04,-0.09184567
2019-06-05,-0.09001581
2019-06-06,-0.09073935
2019-06-07,-0.03904493
2019-06-10,0.0
2019-06-11,0.0
2019-06-12,0.0
2019-06-13,0.0
2019-06-14,0.0
2019-06-17,0.0
2019-06-19,0.0
2019-06-25,-0.01071727
2019-06-26,-0.02455261
2019-06-27,-0.02482619
2019-06-28,-0.02393801
2019-07-01,-0.02420541
2019-07-02,0.0
2019-07-09,0.0
2019-07-10,-0.00319367
2019-07-11,-0.01923339
2019-07-15,-0.02086371
2019-07-16,-0.00744141
2019-07-17,-0.0092462
2019-07-18,-0.01074978
2019-07-25,-0.00817046
2019-07-26,0.0
2019-07-29,0.0
2019-07-30,0.0
2019-07-31,0.0
2019-08-01,-0.00207094
2019-08-08,-0.00508355
2019-08-09,-0.00527123
2019-08-12,0.0
2019-08-13,-0.00206069
2019-08-14,-0.00233819
2019-08-15,-0.00286074
2019-08-23,-0.01389711
2019-08-26,-0.02471217
2019-08-28,-0.02622971
2019-08-29,-0.02919899
2019-08-30,-0.02895539
2019-09-03,-0.03808919
2019-09-04,-0.03351925
2019-09-05,-0.03292178
2019-09-06,-0.03679617
2019-09-09,-0.04327438
2019-09-10,-0.03212758
2019-09-11,-0.03523813
2019-09-12,-0.04011898
2019-09-13,-0.0411389
2019-09-17,-0.03950724
2019-09-18,-0.03945887
2019-09-19,-0.02463871
2019-09-20,-0.02425126
2019-09-24,-0.02243476
2019-09-25,-0.02842613
2019-09-26,-0.02331983
2019-09-27,-0.02616391
2019-09-30,-0.01055305
2019-10-03,-0.04627902
2019-10-09,-0.02786862
2019-10-14,-0.0346592
2019-10-16,-0.03375498
2019-10-17,-0.03165177
2019-10-18,-0.02290302
2019-10-23,-0.02778785
2019-10-24,-0.02662093
2019-10-25,-0.02865604
2019-10-29,-0.02749082
2019-11-06,-0.02466196
2019-11-07,-0.02178209
2019-11-08,-0.02309297
2019-11-11,-0.02181014
2019-11-22,-0.02104365
2019-11-25,-0.02135589
2019-12-02,0.0
2019-12-03,0.0
2019-12-06,0.0
2019-12-09,0.0
