component_id,strategy_name,template,analysis_mode,decision,trade_count,net_return_sum,bias_warnings,weight,sleeve
dcfbeec9cf4c5190,strategia folle,PDUFA Run-Up,Trading,RESEARCH_CANDIDATE_ONLY,120,29.116515,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.01333333,convex
ef3f1ebb21d03d5c,My falsifiable strategy,9:30 AM ORB,Trading,REJECTED_OUTLIER_DEPENDENCY,275,2.552208,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0125,tactical
292441755c5ffdcc,nuova versione,Custom Rule Builder,Trading,REJECTED_OUTLIER_DEPENDENCY,100,3.57132,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0125,tactical
7d30471f7325a2a8,gg,PDUFA Run-Up,Investment,INVESTMENT_RESEARCH_CANDIDATE_ONLY,120,129.015692,SURVIVORSHIP_BIAS_SUSPECTED_HIGH;DRAWNDOWN_TOO_SMOOTH_FOR_EVENT_BASKET;PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.01333333,convex
f173207ae9bd5ccd,Abed,Regime Filter,Trading,REJECTED_OUTLIER_DEPENDENCY,250,5.418033,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.075,core
0dc08daefa67c12e,9:15,9:30 AM ORB,Trading,REJECTED_OUTLIER_DEPENDENCY,880,-7.026917,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0125,tactical
ee5692c4832db94b,9:15,9:30 AM ORB,Trading,REJECTED_OUTLIER_DEPENDENCY,275,2.552208,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0125,tactical
91510d8163e121fc,Nigga Strartegy,Dollar-Bar Microstructure,Investment,REJECTED_OUTLIER_DEPENDENCY,325,-0.317909,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0125,tactical
2496e35863212c76,My falsifiable strategy,Catalyst,Investment,REJECTED_OUTLIER_DEPENDENCY,275,6.346256,SURVIVORSHIP_BIAS_SUSPECTED_HIGH;PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.01333333,convex
208d36ae3c31f890,My falsifiable strategy,Custom Rule Builder,Trading,REJECTED_OUTLIER_DEPENDENCY,200,-11.654983,,0.0125,tactical
8bf949936eddd596,My falsifiable strategy,Custom Rule Builder,Trading,REJECTED_OUTLIER_DEPENDENCY,100,-0.676934,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0125,tactical
