component_id,dcfbeec9cf4c5190,ef3f1ebb21d03d5c,292441755c5ffdcc,7d30471f7325a2a8,f173207ae9bd5ccd,0dc08daefa67c12e,ee5692c4832db94b,91510d8163e121fc,2496e35863212c76,208d36ae3c31f890,8bf949936eddd596,e8cde4045a54b14a,64880f270f8f6861,913c67d63ee5a478,28a0d94ccf2a6c08,e0008aaebb2fda63,680166d42265ad55,816022f1cffa8310,f8e4773a916f0f75,fda6a92d0fdc1a1d,fad9ff0f91ecab15,2902e60324bd4c13,23ff266a203fea0d,bec60afef14416c2,a0cc249592a067f4,acc065823d9dcfb7,4087717bb62f6610,0b596d1ce6d258c0,bc79985845236f4a,6b50c641a4eaf53e,bfe638853ce4a153,409ca5c54a3efce7,eeb44b96bbac9604,dd95aab5d08306e1,6a116a4eef3afb73,277f5aa08f7f9d9c,a669c488d63a2146,394fda88ef8296bd,08a55727092fc895
dcfbeec9cf4c5190,1.0,0.10400268809430147,0.06227108645312614,-0.016099994834361017,0.3669216228537897,0.05408518727877955,0.10400268809430147,0.11891312184591303,0.3097662583543989,0.021832219098198633,0.004216688068134512,0.008364667913575999,0.010868669735088864,0.020967341805161462,0.014006101044925095,0.008798790650956075,0.25141153037970915,0.20925265596082868,-0.016099994834361017,-0.06593145745707703,-0.019087216233566667,0.1113574735449776,-0.07608185841649993,-0.03853295368356873,-0.0584932413663843,-0.11335025937196949,-0.0349965624313654,0.19570480121772854,0.027548440075730346,-0.017675459983029943,0.0524278025473336,0.20049283898161196,0.0022805097924034636,0.04260257701092019,-0.00642960538361334,-0.018253645336279538,0.08229964227409854,0.042569407333387335,-0.016099994834361017
ef3f1ebb21d03d5c,0.10400268809430147,1.0,0.4249820104194943,-0.043942425961128385,-0.0016534460775115378,0.7755516436942381,1.0,0.055237622905385315,0.058830566536110886,0.012094929246258585,0.019681173375180484,0.02056515748656127,0.021971110285775988,0.043340663647867865,-0.008643882730368403,0.047479434783025534,0.4217265479545441,0.04615966037757378,-0.043942425961128385,-0.009037569129992838,-0.01292822294177388,0.017222523320485034,-0.003006813273301024,-0.010504213038247596,0.007385712667096399,-0.0038922714845169974,0.0037780580127613306,0.025365266556669035,-0.0016459852488346883,-0.0024858565572144654,0.4454800384622622,0.35447773138414035,0.0015568016022157332,0.04410976402177064,0.016426953745246917,0.034154633651232724,0.06767489109594496,0.10239887917565746,-0.043942425961128385
292441755c5ffdcc,0.06227108645312614,0.4249820104194943,1.0,-0.01983378815264481,0.26542549509934593,0.32900254278122365,0.4249820104194943,0.020069647708026547,0.018419646948661196,0.010190468254916239,0.007747748548532391,0.01584111326196252,0.020449535729841765,0.026511876269593993,-0.014037984263809694,0.015601520907331922,0.40117889886894054,0.02149810735547849,-0.01983378815264481,-0.019176198835702787,0.00963294135481712,-0.00047481225878438283,0.0030933938321054534,-0.014089101289814365,-0.018596936118615865,-0.011519656272289923,-0.006370497873317542,0.000564418758712387,0.0022009644492930643,-0.004079017562597087,0.5361846847765721,0.3078065986188937,0.0004382612682404495,0.016249592019533937,-0.004473280444220234,0.0052966930679041214,0.018418172038075473,0.10933320696738849,-0.01983378815264481
7d30471f7325a2a8,-0.016099994834361017,-0.043942425961128385,-0.01983378815264481,1.0,-0.008253434538472068,-0.033530333182193894,-0.043942425961128385,-0.01228067705701119,-0.023866735726890218,0.037245978427627474,0.016119225904399362,-0.004774676687874956,-0.005622621159893876,0.04705134342185369,0.01047449190705092,-0.00653849190907004,0.003715478159678557,-0.009608354279678415,1.0,-0.03034979630982586,0.018492085954065728,-0.012734114847924501,0.0006607839065279539,0.01607085489076431,-0.011292619425050708,-0.005700083359014655,-0.004940601814681294,0.008227169111566936,0.12222746785973565,0.24516129525667563,-0.009736176871183165,0.0008904630848222914,0.004349102820567517,-0.011204513469612258,-0.008015427117699748,0.012158216784745827,-0.0021157498109380304,-0.03310859432543963,1.0
f173207ae9bd5ccd,0.3669216228537897,-0.0016534460775115378,0.26542549509934593,-0.008253434538472068,1.0,-0.005018018808907679,-0.0016534460775115432,0.03450228788973681,0.19302548038875111,0.028254967804021903,-0.02087615930758843,0.005686345074972601,0.010493357972171916,0.016410872705979393,-0.01933723330436845,0.006689888690446344,0.14008856072293005,0.06186830404777129,-0.008253434538472068,-0.04255578410699882,-0.025610088291280263,-0.027326967193302045,-0.04693112711328505,-0.0061824450311378605,-0.043376873440342724,-0.013100746749869345,-0.018758913381851684,0.10415676354100989,0.05773870742617987,-0.02294887314956106,-0.00273093851541172,-0.0156306193197378,0.003466244685065857,-0.018634491865869563,-0.024867683904025554,-0.00268557219030628,0.009560639929311871,0.022995268486651073,-0.008253434538472068
0dc08daefa67c12e,0.05408518727877955,0.7755516436942381,0.32900254278122365,-0.033530333182193894,-0.005018018808907679,1.0,0.7755516436942381,0.03955002868208878,0.05260848713625716,0.056876848726091125,0.01663804740752577,0.019380110395990528,0.02091805185560029,0.08516391598346154,0.002797752404140971,0.36299012422830906,0.305197571519009,0.05830108318579719,-0.033530333182193894,-0.04393678083300067,0.0019577845023417955,0.011325437819716094,0.02736766042720072,0.02026199193946351,0.012683829153064197,0.018818768564181017,0.01697038022171672,0.0038310314939319847,0.010162029695438462,-0.0030793130400380377,0.34077425791298027,0.2784654025577961,0.0009197653129803811,0.059026243481578124,0.018288495886324384,0.02711850617980339,0.05304044882055986,0.12356957176324244,-0.033530333182193894
ee5692c4832db94b,0.10400268809430147,1.0,0.4249820104194943,-0.043942425961128385,-0.0016534460775115432,0.7755516436942381,1.0,0.055237622905385315,0.058830566536110886,0.012094929246258585,0.019681173375180484,0.02056515748656127,0.021971110285775988,0.043340663647867865,-0.008643882730368403,0.047479434783025534,0.4217265479545441,0.04615966037757378,-0.043942425961128385,-0.009037569129992838,-0.01292822294177388,0.017222523320485034,-0.003006813273301024,-0.010504213038247596,0.007385712667096399,-0.0038922714845169974,0.0037780580127613306,0.025365266556669035,-0.0016459852488346883,-0.0024858565572144654,0.4454800384622622,0.35447773138414035,0.0015568016022157332,0.04410976402177064,0.016426953745246917,0.034154633651232724,0.06767489109594496,0.10239887917565746,-0.043942425961128385
91510d8163e121fc,0.11891312184591303,0.055237622905385315,0.020069647708026547,-0.01228067705701119,0.03450228788973681,0.03955002868208878,0.055237622905385315,1.0,0.09212219794391643,0.013572209493598822,0.017349213099464043,0.02624559711681374,0.025177669213611604,0.017347275037917803,0.03937653420997815,0.014087225393444513,0.03808040970363024,0.15398335538433114,-0.012280677057011191,-0.03050076412866797,0.04872168044248242,0.0485802884599444,-0.03337234421332931,-0.014090383783197654,-0.004897983065633162,0.0062459997579032474,-0.0004693194006563322,0.03768415924896308,0.013330327711067926,0.025276471800120704,0.03970349729639034,0.024412995026100028,-0.0069407464426101675,0.1314838784008119,-0.010226095602955742,0.012824099564866152,0.20397797945891621,0.04538665267404122,-0.012280677057011191
2496e35863212c76,0.3097662583543989,0.058830566536110886,0.018419646948661196,-0.023866735726890218,0.19302548038875111,0.05260848713625716,0.058830566536110886,0.09212219794391643,1.0,0.022356432606532573,0.02942161631800442,0.03531397596480219,0.0356402727174302,0.021412676277175142,0.06280973856838179,0.047197402170088484,0.05996235364767496,0.18539452074964372,-0.02386673572689022,-0.026465217626148098,0.0313589073669084,-0.013082915468039573,-0.0061070174854242045,-0.014363128904100861,-0.03214902354644915,-0.007719804953136552,-0.022009472933978525,0.10772329946615981,0.017173981910287284,-0.009128859287458234,0.018991602656066333,-0.00978161075458024,-0.019936744821372122,-0.00070942361184139,-0.03931033254318388,-0.017977122526679892,0.06968658128462996,0.07140127639616534,-0.02386673572689022
208d36ae3c31f890,0.021832219098198633,0.012094929246258585,0.010190468254916239,0.037245978427627474,0.028254967804021903,0.056876848726091125,0.012094929246258585,0.013572209493598822,0.022356432606532573,1.0,-0.004898787830418169,-0.011643484153261711,-0.01395094703241971,0.6409398915682271,0.02797293694580712,0.017183857422817996,0.032859115291239686,0.030876084103966285,0.037245978427627474,-0.2819512240322687,-0.019245848791482455,0.03107193097795148,-0.04874101519358054,0.014565639376480321,0.005434735674575203,0.0008096277932577591,-0.005022132697560208,0.0047037912804752825,-0.026035184705641434,0.018482791601289676,0.006034624665323792,0.03292759050474282,0.14283918376151417,-0.016680968369938917,0.002834413611952937,-0.018239304341982825,-0.014097377526767329,-0.005954374045110417,0.037245978427627474
