symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
CRMD,2022-11-03T13:30:00Z,2.94,2.94,2.94,2.94,2271,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T13:33:00Z,2.92,2.975,2.9,2.9,167,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T13:35:00Z,2.95,2.95,2.95,2.95,66,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T13:40:00Z,2.95,2.95,2.95,2.95,66,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T13:50:00Z,2.98,2.98,2.98,2.98,13,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T13:54:00Z,2.96,2.96,2.96,2.96,6,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T14:01:00Z,2.96,2.96,2.96,2.96,18,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T14:05:00Z,2.99,2.99,2.99,2.99,99,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T14:17:00Z,2.91,2.91,2.91,2.91,100,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T14:24:00Z,2.91,2.91,2.91,2.91,200,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T14:25:00Z,2.92,2.92,2.92,2.92,12,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T14:37:00Z,2.92,2.92,2.92,2.92,50,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T14:38:00Z,2.93,2.93,2.93,2.93,24,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T14:39:00Z,2.94,2.94,2.94,2.94,46,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T14:53:00Z,2.96,2.96,2.96,2.96,4,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T14:54:00Z,2.95,2.96,2.95,2.96,70,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T15:02:00Z,2.99,3.0,2.99,3.0,32,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T15:04:00Z,2.98,2.98,2.97,2.98,517,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T15:09:00Z,2.995,2.995,2.995,2.995,244,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T15:25:00Z,2.97,2.97,2.97,2.97,559,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T15:27:00Z,2.94,2.94,2.94,2.94,1,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T15:29:00Z,2.91,2.94,2.91,2.94,421,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T15:30:00Z,2.94,2.94,2.94,2.94,1,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T15:34:00Z,2.925,2.925,2.925,2.925,100,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-03T15:37:00Z,2.94,2.94,2.94,2.94,100,XNAS.ITCH,ohlcv-1m
