iteration,selected_trade_count,weighted_net_sum,win_rate,max_drawdown
0,11,0.03868819676777462,0.7272727272727273,-0.017496873526357825
1,11,0.06963440552469995,0.6363636363636364,-0.0066893263825601994
2,11,0.0490662175392425,0.9090909090909091,-0.0054315717317438
3,11,0.009627450567195502,0.6363636363636364,-0.011939078545323199
4,11,0.06394110094654284,0.7272727272727273,0.0
5,11,0.025116374684585926,0.6363636363636364,-0.000319247997574451
6,11,0.01305157693618915,0.7272727272727273,-0.0065075068135794
7,11,0.03441388345080707,0.7272727272727273,-0.006468980709473425
8,11,0.04435320542875029,0.45454545454545453,-0.0065075068135794
9,11,0.051734718739808505,0.7272727272727273,-0.0070757732480668
10,11,0.08723765794164207,0.8181818181818182,0.0
11,11,0.040579986236841246,0.5454545454545454,-0.0054315717317438
12,11,0.0428608060239129,0.6363636363636364,-0.0065075068135794
13,11,0.01608068900166042,0.5454545454545454,-0.011900552441217224
14,11,0.014492321866187952,0.5454545454545454,-0.0177172191994446
15,11,0.03666743181367222,0.6363636363636364,-0.005393045627637825
16,11,0.055770683456849525,0.5454545454545454,-0.005393045627637825
17,11,0.036146368051972,0.7272727272727273,-0.000100839201369
18,11,0.03394166935569598,0.6363636363636364,-0.024004380339937223
19,11,0.013673495291704875,0.6363636363636364,-0.005393045627637825
20,11,0.055765687095141604,0.7272727272727273,-0.0175353996304638
21,11,0.045665921713514676,0.5454545454545454,-0.0032874994277954
22,11,0.0668439069823781,0.7272727272727273,-0.0065075068135794
23,11,0.033932374076019546,0.5454545454545454,-0.003788273820271401
24,11,0.029717764423071752,0.45454545454545453,-0.00952789011413565
25,11,0.06792000978940663,0.8181818181818182,-0.017496873526357825
26,11,0.04477536728548325,0.5454545454545454,-0.0066083460149483995
27,11,0.03897955603898701,0.45454545454545453,-0.0087814991370031
28,11,0.030356430374945148,0.7272727272727273,-0.0229669713622076
29,11,0.1069118270563227,0.8181818181818182,-0.003788273820271401
30,11,-0.0017936309939230255,0.45454545454545453,-0.023476561028108224
31,11,0.02793244682876378,0.6363636363636364,-0.024186199908918023
32,11,0.07102626744892884,0.8181818181818182,-0.0001613971673717976
33,11,0.04165305273044685,0.6363636363636364,-0.0054315717317438
34,11,0.0706033534575755,0.6363636363636364,-0.0241864005536594
35,11,0.0369267826876998,0.6363636363636364,-0.005613391300724599
36,11,0.10008178347288715,0.6363636363636364,-0.003949670987643199
37,11,0.0635791467522741,0.5454545454545454,-0.0034875795562005
38,11,0.019496853685839276,0.7272727272727273,-0.0001818195689808
39,11,0.06053502023428042,0.6363636363636364,-0.003287499427795399
40,11,0.06751554406100395,0.6363636363636364,-0.004028870696697301
41,11,0.07034954425685915,0.7272727272727273,-0.0240429064440432
42,11,0.05150557541966211,0.6363636363636364,-0.0001955051217639031
43,11,0.0688648340217766,0.7272727272727273,-0.0065075068135794
44,11,0.05042364301606045,0.5454545454545454,-0.02474133119656165
45,11,0.010276339583431975,0.6363636363636364,-0.024105219541306223
46,11,0.03845762012531215,0.6363636363636364,-0.005613391300724599
47,11,0.014576488571333347,0.5454545454545454,-0.0229669713622076
48,11,0.06784368642117175,0.8181818181818182,0.0
49,11,0.04015755072336695,0.7272727272727273,-0.0035280963042213023
50,11,0.08850706034205019,0.6363636363636364,0.0
51,11,0.09171167689338061,0.6363636363636364,-0.0070757732480668
