fold,period,target_exit_config,feature_set,model_type,probability_variant,train_end,validation_start,validation_end,test_start,test_end,threshold,selected_for_test,strategy_return,buy_and_hold_return,excess_return,max_drawdown,sharpe,profit_factor,win_rate,beats_buy_and_hold,total_signals,executable_signals,symbols_with_signals,closed_trades
wf_2023,validation,balanced_1_5x_stop_2_25x_tp_10d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.7,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,balanced_1_5x_stop_2_25x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.15,False,-0.013034221087649827,-0.44250347900204695,0.42946925791439716,-0.03152589059640877,-0.46628934110454817,0.8029067089439638,0.4102525252525252,True,358,342,10,79
wf_2023,validation,balanced_1_5x_stop_2_25x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.2,False,-0.022284745584829756,-0.44250347900204695,0.4202187334172172,-0.032922085611747864,-0.8534364146749921,0.5242488969878015,0.258030303030303,True,230,219,10,61
wf_2023,validation,balanced_1_5x_stop_2_25x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.25,False,-0.007326787132885512,-0.44250347900204695,0.43517669186916147,-0.014893127406275885,-0.632023785517241,0.5860847925466989,0.29583333333333334,True,32,27,8,16
wf_2023,validation,balanced_1_5x_stop_2_25x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.3,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,balanced_1_5x_stop_2_25x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.35,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,balanced_1_5x_stop_2_25x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.4,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,balanced_1_5x_stop_2_25x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,patient_2x_stop_4x_tp_15d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,False,-0.015179526774670434,-0.44250347900204695,0.42732395222737657,-0.02806244982495574,-0.6979979847315414,0.6087841743113213,0.32928571428571424,True,167,161,10,41
wf_2023,validation,patient_2x_stop_4x_tp_15d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.5,False,-0.0038613708194705104,-0.44250347900204695,0.43864210818257643,-0.009337262213479103,-0.531295188078288,0.3220676794381271,0.3222222222222222,True,60,57,7,13
