fold,period,target_exit_config,feature_set,model_type,probability_variant,signal_quality_config,signal_rank_column,train_end,validation_start,validation_end,test_start,test_end,threshold,selected_for_test,strategy_return,buy_and_hold_return,excess_return,max_drawdown,sharpe,profit_factor,win_rate,beats_buy_and_hold,total_signals_before_rank,rank_filtered_signals,total_signals,executable_signals,symbols_with_signals,closed_trades
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_quality_score,signal_quality_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.6,False,-0.0020591297520343504,-0.44250347900204706,0.44044434925001263,-0.002228599201800752,-1.2088952891438223,0.0,0.0,True,3,0,3,2,2,2
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_quality_score,signal_quality_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.65,False,0.0,-0.44250347900204706,0.44250347900204706,0.0,,,,True,0,0,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_quality_score,signal_quality_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.7,False,0.0,-0.44250347900204706,0.44250347900204706,0.0,,,,True,0,0,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_1_daily_quality_score,signal_quality_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,False,-0.006648210192620374,-0.44250347900204706,0.43585526880942654,-0.018618457413561197,-0.3756188042127259,0.5775789484122017,0.390625,True,138,80,58,54,8,26
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_1_daily_quality_score,signal_quality_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.5,False,-0.005637954201720684,-0.44250347900204706,0.43686552480032625,-0.01281380083830701,-0.700370695292098,0.2620808915044691,0.25,True,43,15,28,25,9,12
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_1_daily_quality_score,signal_quality_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.55,False,-0.004118066865276371,-0.44250347900204706,0.43838541213677057,-0.005372022133634802,-0.8781890687907665,0.0,0.2,True,12,2,10,9,5,5
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_1_daily_quality_score,signal_quality_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.6,False,-0.0020591297520343504,-0.44250347900204706,0.44044434925001263,-0.002228599201800752,-1.2088952891438223,0.0,0.0,True,3,0,3,2,2,2
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_1_daily_quality_score,signal_quality_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.65,False,0.0,-0.44250347900204706,0.44250347900204706,0.0,,,,True,0,0,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_1_daily_quality_score,signal_quality_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.7,False,0.0,-0.44250347900204706,0.44250347900204706,0.0,,,,True,0,0,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_model_probability,model_probability,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,False,-0.009144234389320046,-0.44250347900204706,0.43335924461272696,-0.02691261575585171,-0.49937861884104884,0.5151330281942578,0.4025573192239859,True,138,40,98,92,9,40
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_model_probability,model_probability,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.5,False,-0.00958192587870873,-0.44250347900204706,0.43292155312333824,-0.016226883527609214,-0.879446099654942,0.14036166126932106,0.1875,True,43,4,39,34,9,14
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_model_probability,model_probability,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.55,False,-0.005138573359835529,-0.44250347900204706,0.4373649056422114,-0.0063876061475842015,-0.9825853078047493,0.0,0.2,True,12,0,12,11,5,6
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_model_probability,model_probability,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.6,False,-0.0020591297520343504,-0.44250347900204706,0.44044434925001263,-0.002228599201800752,-1.2088952891438223,0.0,0.0,True,3,0,3,2,2,2
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_model_probability,model_probability,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.65,False,0.0,-0.44250347900204706,0.44250347900204706,0.0,,,,True,0,0,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_model_probability,model_probability,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.7,False,0.0,-0.44250347900204706,0.44250347900204706,0.0,,,,True,0,0,0,0,0,0
