symbol,event_date,is_sec8k_event,pre_window_start,pre_window_end,pre_window_days,baseline_lookback_days,pre_window_return,pre_window_abs_return,pre_window_volume_ratio,provider_query_performed,market_data_downloaded,source
ARRY,2024-04-08,False,2024-04-01,2024-04-05,5,20,-0.0605854323,0.0605854323,0.70044682,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-09,False,2024-04-02,2024-04-08,5,20,-0.0133897111,0.0133897111,0.74181102,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-10,False,2024-04-03,2024-04-09,5,20,0.0055517002,0.0055517002,0.64504775,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-11,False,2024-04-04,2024-04-10,5,20,-0.0076441974,0.0076441974,0.64120459,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-12,False,2024-04-05,2024-04-11,5,20,0.0282608696,0.0282608696,0.54576086,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-15,False,2024-04-08,2024-04-12,5,20,-0.0757142857,0.0757142857,0.54903196,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-16,False,2024-04-09,2024-04-15,5,20,-0.1621808144,0.1621808144,1.10180711,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-17,False,2024-04-10,2024-04-16,5,20,-0.1960784314,0.1960784314,1.11169083,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-18,False,2024-04-11,2024-04-17,5,20,-0.2128259338,0.2128259338,1.13648709,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-19,False,2024-04-12,2024-04-18,5,20,-0.1522411128,0.1522411128,1.15534907,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-22,False,2024-04-15,2024-04-19,5,20,-0.0724876442,0.0724876442,1.45237189,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-23,False,2024-04-16,2024-04-22,5,20,0.0217770035,0.0217770035,1.45237189,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-24,False,2024-04-17,2024-04-23,5,20,0.0671441361,0.0671441361,1.4149699,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-25,False,2024-04-18,2024-04-24,5,20,0.0984503191,0.0984503191,1.39355949,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-26,False,2024-04-19,2024-04-25,5,20,0.0568383659,0.0568383659,1.13316643,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-29,False,2024-04-22,2024-04-26,5,20,0.0690537084,0.0690537084,0.94555867,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-04-30,False,2024-04-23,2024-04-29,5,20,0.0503355705,0.0503355705,0.7501909,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-01,False,2024-04-24,2024-04-30,5,20,0.0049792531,0.0049792531,0.7386186,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-02,False,2024-04-25,2024-05-01,5,20,0.0470588235,0.0470588235,0.7501909,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-03,False,2024-04-26,2024-05-02,5,20,0.0406698565,0.0406698565,1.00870952,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-06,False,2024-04-29,2024-05-03,5,20,0.0750798722,0.0750798722,1.00870952,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-07,False,2024-04-30,2024-05-06,5,20,0.1345995045,0.1345995045,1.00870952,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-08,False,2024-05-01,2024-05-07,5,20,0.062600321,0.062600321,0.77872963,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-09,False,2024-05-02,2024-05-08,5,20,-0.0574712644,0.0574712644,0.77872963,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-10,True,2024-05-03,2024-05-09,5,20,0.0178306092,0.0178306092,0.77363343,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-13,False,2024-05-06,2024-05-10,5,20,-0.0611353712,0.0611353712,1.19617821,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-14,False,2024-05-07,2024-05-13,5,20,-0.0370090634,0.0370090634,1.19617821,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-15,False,2024-05-08,2024-05-14,5,20,0.0430894309,0.0430894309,1.19617821,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-16,False,2024-05-09,2024-05-15,5,20,-0.102189781,0.102189781,1.34384172,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-17,False,2024-05-10,2024-05-16,5,20,-0.1178294574,0.1178294574,1.28297639,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-20,False,2024-05-13,2024-05-17,5,20,-0.1341176471,0.1341176471,1.00681118,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-21,False,2024-05-14,2024-05-20,5,20,-0.1628994544,0.1628994544,1.00681118,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-22,False,2024-05-15,2024-05-21,5,20,-0.0943089431,0.0943089431,1.02796473,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-23,False,2024-05-16,2024-05-22,5,20,0.1230228471,0.1230228471,1.02401184,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-24,False,2024-05-17,2024-05-23,5,20,0.1585144928,0.1585144928,0.80325526,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-28,False,2024-05-20,2024-05-24,5,20,0.2569832402,0.2569832402,0.80325526,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-29,False,2024-05-21,2024-05-28,5,20,0.2091561939,0.2091561939,0.8542958,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-30,False,2024-05-22,2024-05-29,5,20,0.0798122066,0.0798122066,0.91413024,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-05-31,False,2024-05-23,2024-05-30,5,20,0.1102423769,0.1102423769,0.70335126,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-03,False,2024-05-24,2024-05-31,5,20,0.0496296296,0.0496296296,0.70335126,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-04,False,2024-05-28,2024-06-03,5,20,0.0438010393,0.0438010393,0.64513589,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-05,False,2024-05-29,2024-06-04,5,20,-0.0173913043,0.0173913043,0.64513589,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-06,False,2024-05-30,2024-06-05,5,20,-0.0211267606,0.0211267606,0.75929519,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-07,False,2024-05-31,2024-06-06,5,20,-0.0331686662,0.0331686662,0.85748595,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-10,False,2024-06-03,2024-06-07,5,20,-0.0455192034,0.0455192034,0.75404619,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-11,False,2024-06-04,2024-06-10,5,20,-0.0125368732,0.0125368732,0.85748595,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-12,False,2024-06-05,2024-06-11,5,20,-0.054676259,0.054676259,0.80018472,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-13,False,2024-06-06,2024-06-12,5,20,-0.0306569343,0.0306569343,0.81643823,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-14,False,2024-06-07,2024-06-13,5,20,-0.020119225,0.020119225,1.11253814,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-17,False,2024-06-10,2024-06-14,5,20,-0.072442121,0.072442121,1.14898971,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-18,False,2024-06-11,2024-06-17,5,20,-0.0563165906,0.0563165906,1.18982886,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-20,False,2024-06-12,2024-06-18,5,20,-0.0346385542,0.0346385542,0.91455213,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-21,False,2024-06-13,2024-06-20,5,20,-0.0623574144,0.0623574144,0.77231495,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-24,False,2024-06-14,2024-06-21,5,20,-0.0861513688,0.0861513688,0.77231495,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
