symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,regime_label,split
ACHV,risk_off_mean_reversion_5d,2025-11-21,2025-11-24,2025-12-09,4.02,4.68,-0.09589041095890405,0.16417910447761197,0.05,0.11417910447761197,0.05,0.005708955223880599,False,False,RISK_OFF,oos
ACET,risk_off_mean_reversion_5d,2025-11-21,2025-11-24,2025-12-09,10.048,8.5792,-0.09059338668277228,-0.1461783439490446,0.05,-0.1961783439490446,0.05,-0.00980891719745223,False,False,RISK_OFF,oos
ACHR,risk_off_mean_reversion_5d,2025-11-21,2025-11-24,2025-12-09,7.18,8.63,-0.08883248730964466,0.20194986072423404,0.05,0.15194986072423405,0.05,0.007597493036211703,False,False,RISK_OFF,oos
ABTC,risk_off_mean_reversion_5d,2025-11-21,2025-11-24,2025-12-09,4.54,2.05,-0.08847736625514413,-0.5484581497797357,0.05,-0.5984581497797358,0.05,-0.02992290748898679,False,False,RISK_OFF,oos
ELP-202512,risk_off_mean_reversion_5d,2025-11-21,2025-11-24,2025-12-09,9.665408,9.627726,-0.06953337904430401,-0.0038986455615738214,0.05,-0.053898645561573824,0.05,-0.0026949322780786913,False,False,RISK_OFF,oos
ADDYY,risk_off_mean_reversion_5d,2025-11-21,2025-11-24,2025-12-09,86.45263,91.114334,-0.06916367621994146,0.05392206113336284,0.05,0.003922061133362839,0.05,0.00019610305666814196,False,False,RISK_OFF,oos
ABAT,risk_off_mean_reversion_5d,2025-11-21,2025-11-24,2025-12-09,3.415,4.25,-0.06388888888888888,0.2445095168374818,0.05,0.1945095168374818,0.05,0.00972547584187409,False,False,RISK_OFF,oos
ADEA,risk_off_mean_reversion_5d,2025-11-21,2025-11-24,2025-12-09,11.961343,12.748142,-0.06376358223746359,0.06577848323553637,0.05,0.015778483235536364,0.05,0.0007889241617768183,False,False,RISK_OFF,oos
ABNB,risk_off_mean_reversion_5d,2025-11-21,2025-11-24,2025-12-09,114.665,125.39,-0.06359613178167511,0.09353333624035232,0.05,0.04353333624035231,0.05,0.0021766668120176158,False,False,RISK_OFF,oos
ACLS,risk_off_mean_reversion_5d,2025-11-21,2025-11-24,2025-12-09,77.16,88.95,-0.05714986509688513,0.15279937791601883,0.05,0.10279937791601883,0.05,0.005139968895800942,False,False,RISK_OFF,oos
AAGIY,risk_off_mean_reversion_5d,2025-11-21,2025-11-24,2025-12-09,39.90609,39.168907,-0.056657274076650777,-0.018472944856286366,0.05,-0.06847294485628637,0.05,-0.0034236472428143187,False,False,RISK_OFF,oos
AARD,risk_off_mean_reversion_5d,2025-11-21,2025-11-24,2025-12-09,9.53,13.69,-0.055443548387096864,0.43651626442812175,0.05,0.38651626442812176,0.05,0.01932581322140609,False,False,RISK_OFF,oos
