symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,sleeve_weight,weighted_net_return,forced_end_of_history_exit
AKRO-202512,Mean Reversion,2025-05-19,2025-05-20,2025-06-04,38.5600013733,52.9900016785,-0.0816277267,0.3742219863,0.05,0.3242219863,0.25,0.0810554966,False
AMWD-202605,Mean Reversion,2025-06-17,2025-06-18,2025-07-03,50.2799987793,56.6100006104,-0.1278286023,0.1258950275,0.05,0.0758950275,0.25,0.0189737569,False
ABG,Mean Reversion,2025-07-17,2025-07-18,2025-08-01,232.1300048828,223.0200042725,-0.1370455193,-0.0392452523,0.05,-0.0892452523,0.25,-0.0223113131,False
AHL-202602,Mean Reversion,2025-08-14,2025-08-15,2025-08-29,28.9599990845,36.5,-0.0962939195,0.2603591559,0.05,0.2103591559,0.25,0.052589789,False
APLS-202605,Mean Reversion,2025-09-12,2025-09-15,2025-09-29,24.9400005341,22.6499996185,-0.1166014532,-0.0918204036,0.05,-0.1418204036,0.25,-0.0354551009,False
AAP,Mean Reversion,2025-10-10,2025-10-13,2025-10-27,49.1388397217,55.7401657104,-0.1893209595,0.1343402902,0.05,0.0843402902,0.25,0.0210850726,False
ABCL,Mean Reversion,2025-11-07,2025-11-10,2025-11-24,4.1700000763,3.5699999332,-0.2954955042,-0.1438849238,0.05,-0.1938849238,0.25,-0.0484712309,False
AAON,Mean Reversion,2025-12-08,2025-12-09,2025-12-23,82.8356781006,75.1553497314,-0.0938557001,-0.0927176374,0.05,-0.1427176374,0.25,-0.0356794094,False
AAPB,Mean Reversion,2026-01-07,2026-01-08,2026-01-23,28.6200008392,26.4699993134,-0.094176992,-0.0751223432,0.05,-0.1251223432,0.25,-0.0312805858,False
ABCL,Mean Reversion,2026-02-05,2026-02-06,2026-02-23,2.9400000572,3.0299999714,-0.279792734,0.0306122151,0.05,-0.0193877849,0.25,-0.0048469462,False
AARD,Mean Reversion,2026-03-06,2026-03-09,2026-03-23,5.6999998093,4.0650000572,-0.5316252993,-0.2868420714,0.05,-0.3368420714,0.25,-0.0842105178,False
AMWD-202605,Mean Reversion,2026-05-04,2026-05-05,2026-05-19,40.7599983215,34.2400016785,-0.1115036241,-0.1599606701,0.05,-0.2099606701,0.25,-0.0524901675,False
