status,symbol,cik,accessionNumber,filingDate,acceptanceDateTime,classification,reaction_session_date,items,event_source,raw_payload_retained,error
event,ARRY,0001820721,0001628280-26-031282,2026-05-06,2026-05-06T20:13:52.000Z,AMC,2026-05-07,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-26-000005,2026-02-25,2026-02-25T21:07:12.000Z,AMC,2026-02-26,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-25-000093,2025-11-05,2025-11-05T21:08:00.000Z,AMC,2025-11-06,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-25-000082,2025-08-07,2025-08-07T20:23:24.000Z,AMC,2025-08-08,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-25-000055,2025-05-06,2025-05-06T11:10:49.000Z,BMO,2025-05-06,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-25-000019,2025-02-27,2025-02-27T21:10:09.000Z,AMC,2025-02-28,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-24-000073,2024-11-07,2024-11-07T21:27:00.000Z,AMC,2024-11-08,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-24-000060,2024-08-08,2024-08-08T20:34:00.000Z,AMC,2024-08-09,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-24-000047,2024-05-09,2024-05-09T20:37:26.000Z,AMC,2024-05-10,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-24-000005,2024-02-27,2024-02-27T21:17:37.000Z,AMC,2024-02-28,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001193125-23-272461,2023-11-07,2023-11-07T21:24:03.000Z,AMC,2023-11-08,"2.02,5.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-23-000154,2023-08-08,2023-08-08T20:48:34.000Z,AMC,2023-08-09,"2.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-23-000094,2023-05-09,2023-05-09T20:27:05.000Z,AMC,2023-05-10,"2.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-23-000057,2023-03-21,2023-03-21T20:12:37.000Z,AMC,2023-03-22,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-23-000023,2023-03-02,2023-03-02T02:55:59.000Z,AMC,2023-03-02,"2.02,4.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-22-000143,2022-11-08,2022-11-08T22:30:25.000Z,AMC,2022-11-09,"2.02,4.02,5.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-22-000108,2022-08-09,2022-08-09T20:04:45.000Z,AMC,2022-08-10,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-22-000047,2022-05-10,2022-05-10T20:02:36.000Z,AMC,2022-05-11,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-22-000030,2022-04-05,2022-04-05T20:05:41.000Z,AMC,2022-04-06,"2.02,5.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-21-000090,2021-11-12,2021-11-12T12:21:29.000Z,BMO,2021-11-12,"1.01,2.02,3.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-21-000057,2021-08-11,2021-08-11T20:02:52.000Z,AMC,2021-08-12,"1.01,2.02,3.02,5.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-21-000017,2021-05-11,2021-05-11T20:36:18.000Z,AMC,2021-05-12,"2.02,5.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001820721-21-000006,2021-03-09,2021-03-09T21:08:43.000Z,AMC,2021-03-10,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,ARRY,0001820721,0001193125-20-286909,2020-11-05,2020-11-05T21:46:03.000Z,AMC,2020-11-06,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001759138-26-000025,2026-05-14,2026-05-14T11:06:42.000Z,BMO,2026-05-14,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-26-202446,2026-05-04,2026-05-04T10:40:17.000Z,BMO,2026-05-04,"1.01,2.02,8.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001759138-26-000010,2026-03-23,2026-03-23T11:32:24.000Z,BMO,2026-03-23,"2.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-25-273272,2025-11-10,2025-11-10T12:33:40.000Z,BMO,2025-11-10,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0000950170-25-104570,2025-08-07,2025-08-07T11:37:09.000Z,BMO,2025-08-07,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0000950170-25-071966,2025-05-15,2025-05-15T11:05:04.000Z,BMO,2025-05-15,"2.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0000950170-25-047196,2025-03-31,2025-03-31T11:03:52.000Z,BMO,2025-03-31,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-25-005016,2025-01-13,2025-01-13T13:10:28.000Z,BMO,2025-01-13,"2.02,7.01,8.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0000950170-24-126731,2024-11-14,2024-11-14T12:07:09.000Z,BMO,2024-11-14,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
