symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,split,regime_label,universe_status,is_delisted
ACDC,mean_reversion_5d,2024-12-06,2024-12-09,2024-12-23,7.5,7.18,-0.1830209481808159,-0.0426666666666667,0.05,-0.0926666666666667,0.1,-0.0092666666666666,False,False,is,TREND_UP_LOW_VOL,active,False
ACHR,mean_reversion_5d,2024-12-06,2024-12-09,2024-12-23,8.25,9.38,-0.1347962382445141,0.1369696969696969,0.05,0.0869696969696969,0.1,0.0086969696969696,False,False,is,TREND_UP_LOW_VOL,active,False
ACMR,mean_reversion_5d,2024-12-06,2024-12-09,2024-12-23,15.43,15.29,-0.1337987201861548,-0.0090732339598186,0.05,-0.0590732339598186,0.1,-0.0059073233959818,False,False,is,TREND_UP_LOW_VOL,active,False
CMRX-202504,momentum_60d,2025-01-07,2025-01-08,2025-02-07,3.6,4.21,3.188122210779265,0.1694444444444445,0.05,0.1194444444444445,0.1,0.0119444444444444,False,False,is,RISK_OFF,delisted,True
ACHR,momentum_60d,2025-01-07,2025-01-08,2025-02-07,10.68,9.02,2.789115646258504,-0.1554307116104869,0.05,-0.2054307116104869,0.1,-0.0205430711610486,False,False,is,RISK_OFF,active,False
CDTX-202601,momentum_60d,2025-01-07,2025-01-08,2025-02-07,27.6,21.68,1.5665399239543727,-0.2144927536231884,0.05,-0.2644927536231884,0.1,-0.0264492753623188,False,False,is,RISK_OFF,delisted,True
BTFX-202512,momentum_60d,2025-01-07,2025-01-08,2025-02-07,54.31,49.4395,1.257578487086684,-0.0896796170134412,0.05,-0.1396796170134412,0.1,-0.0139679617013441,False,False,is,RISK_OFF,delisted,True
ABAT,momentum_60d,2025-01-07,2025-01-08,2025-02-07,2.1,1.31,1.21,-0.3761904761904762,0.05,-0.4261904761904762,0.1,-0.0426190476190476,False,False,is,RISK_OFF,active,False
ABAT,mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,2.1,1.41,-0.1845018450184502,-0.3285714285714286,0.05,-0.3785714285714286,0.1,-0.0378571428571428,False,False,is,RISK_OFF,active,False
BRDG-202508,mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,7.4461837,7.8494773,-0.0967741426131452,0.0541611134304946,0.05,0.0041611134304946,0.1,0.0004161113430494,False,False,is,RISK_OFF,delisted,True
