date,regime_label,spy_close,iwm_close,spy_sma_60,iwm_sma_60,spy_vol_20,iwm_vol_20,spy_drawdown_60,iwm_drawdown_60
2024-06-03,INSUFFICIENT_HISTORY,515.2609,200.13382,nan,nan,nan,nan,nan,nan
2024-06-04,INSUFFICIENT_HISTORY,515.8369,197.55157,nan,nan,nan,nan,nan,nan
2024-06-05,INSUFFICIENT_HISTORY,521.96765,200.57397,nan,nan,nan,nan,nan,nan
2024-06-06,INSUFFICIENT_HISTORY,521.9579,199.13614,nan,nan,nan,nan,nan,nan
2024-06-07,INSUFFICIENT_HISTORY,521.32336,196.79842,nan,nan,nan,nan,nan,nan
2024-06-10,INSUFFICIENT_HISTORY,522.93414,197.47333,nan,nan,nan,nan,nan,nan
2024-06-11,INSUFFICIENT_HISTORY,524.19354,196.79869,nan,nan,nan,nan,nan,nan
2024-06-12,INSUFFICIENT_HISTORY,528.4987,199.81973,nan,nan,nan,nan,nan,nan
2024-06-13,INSUFFICIENT_HISTORY,529.56287,198.0738,nan,nan,nan,nan,nan,nan
2024-06-14,INSUFFICIENT_HISTORY,529.8851,194.92526,nan,nan,nan,nan,nan,nan
2024-06-17,INSUFFICIENT_HISTORY,534.10236,196.5633,nan,nan,nan,nan,nan,nan
2024-06-18,INSUFFICIENT_HISTORY,535.45935,196.90659,nan,nan,nan,nan,nan,nan
2024-06-20,INSUFFICIENT_HISTORY,534.00476,196.07286,nan,nan,nan,nan,nan,nan
2024-06-21,INSUFFICIENT_HISTORY,533.2889,196.51425,nan,nan,nan,nan,nan,nan
2024-06-24,INSUFFICIENT_HISTORY,531.55536,197.3676,nan,nan,nan,nan,nan,nan
2024-06-25,INSUFFICIENT_HISTORY,533.6023,196.72023,nan,nan,nan,nan,nan,nan
2024-06-26,INSUFFICIENT_HISTORY,534.26825,196.20038,nan,nan,nan,nan,nan,nan
2024-06-27,INSUFFICIENT_HISTORY,535.11053,198.19151,nan,nan,nan,nan,nan,nan
2024-06-28,INSUFFICIENT_HISTORY,533.0048,199.00562,nan,nan,nan,nan,nan,nan
2024-07-01,INSUFFICIENT_HISTORY,534.1018,197.33817,nan,nan,nan,nan,nan,nan
2024-07-02,INSUFFICIENT_HISTORY,537.69617,198.01497,nan,nan,0.0040584266352489224,0.008909063020907774,nan,nan
2024-07-03,INSUFFICIENT_HISTORY,540.09564,197.96591,nan,nan,0.0040828811299421916,0.008417228605768596,nan,nan
2024-07-05,INSUFFICIENT_HISTORY,543.21014,197.02429,nan,nan,0.003517641144341985,0.00767819960940781,nan,nan
