sleeve,trade_count,gross_return_sum,net_return_sum,weighted_net_return_sum,median_net_return,win_rate,cost_return_sum,best_symbol,worst_symbol
mean_reversion_5d,95,1.547273211530375,-3.202726788469624,-0.3202726788469614,-0.0468459786227439,0.3684210526315789,4.749999999999998,AAOI,ABVEF
momentum_60d,62,1.0799684091707296,-2.0200315908292703,-0.20200315908292613,-0.0440926600325432,0.3870967741935484,3.0999999999999988,AAOI,APLT-202602
