sleeve,split,trade_count,gross_return_sum,net_return_sum,weighted_net_return_sum,median_net_return,win_rate,cost_return_sum,best_symbol,worst_symbol
mean_reversion_5d,is,40,-1.0215523345278004,-3.0215523345278,-0.30215523345277917,-0.0899658733324469,0.3,2.0,AAOI,ACON
mean_reversion_5d,oos,55,2.568825546058175,-0.181174453941824,-0.018117445394182214,-0.0109009560383761,0.41818181818181815,2.7499999999999987,CFLT-202603,ABVEF
momentum_60d,is,28,-0.3512036191176604,-1.7512036191176603,-0.1751203619117653,-0.0878426153564825,0.25,1.4000000000000004,CMRX-202504,APLT-202602
momentum_60d,oos,34,1.43117202828839,-0.2688279717116101,-0.026882797171160808,-0.0033963042702768002,0.5,1.7000000000000002,AAOI,APLT-202602
